Mouse,Generation,Sex,InitialWeight,FinalWeight,AST,ALT,ASTALTRatio,BUN,Glucose,NADH,NADP,NADPH,NADPNADPHRatio,LiverWeight,GSH,GSSG,TotalGSH,GSHGSSGRatio,2GSHGSSGRatio,EhGSSG2GSH,Steatosis,Ballooning,Fibrosis
265,35,M,29.7,52.6,44,27,1.630,18.000,130.000,2.626,0.675,0.419,1.610,1.824,43.370,0.517,44.404,83.880,167.760,-197.718,0,4,0
266,35,M,34.1,42.2,48,21,2.286,24.000,119.000,1.869,1.044,0.231,4.511,1.972,44.100,1.152,46.404,38.288,76.577,-187.385,0,5,0
267,35,M,32,47.5,41,19,2.158,23.000,128.000,2.874,0.712,0.379,1.878,2.278,22.193,0.317,22.826,70.117,140.235,-186.285,0,2,0
268,35,M,31.1,42,52,60,0.867,14.000,85.000,1.429,0.797,0.242,3.292,2.325,22.644,0.248,23.139,91.449,182.897,-190.132,0,1,0
269,35,M,27.2,41.4,45,29,1.552,20.000,123.000,1.507,0.680,0.350,1.944,1.560,47.366,0.502,48.371,94.272,188.544,-200.477,0,4,0
270,35,M,27.7,36.1,53,27,1.963,22.000,132.000,2.233,0.752,0.412,1.828,1.503,24.326,0.265,24.855,91.899,183.797,-191.163,0,2,0
271,35,M,21.8,29.3,36,19,1.895,22.000,99.000,2.344,0.843,0.240,3.508,1.309,16.901,0.219,17.339,77.276,154.552,-183.927,0,3,0
272,35,M,28.6,38.4,34,20,1.700,23.000,78.000,3.243,0.822,0.295,2.790,1.605,27.457,0.321,28.099,85.449,170.899,-191.813,0,0,0
273,35,M,38.9,55.2,50,33,1.515,21.000,301.000,2.835,1.192,0.286,4.166,2.745,35.021,0.577,36.174,60.722,121.444,-190.490,1,4,0
274,35,M,29.2,41.4,40,36,1.111,25.000,372.000,1.517,0.749,0.144,5.188,2.262,46.844,0.473,47.789,99.106,198.213,-201.001,3,4,0
275,35,M,32.5,49.5,37,20,1.850,28.000,130.000,2.045,1.135,0.454,2.497,1.665,30.586,0.248,31.081,123.569,247.139,-198.232,0,4,0
276,35,M,28,44.2,53,34,1.559,23.000,86.000,1.967,0.810,0.236,3.435,1.813,30.411,0.467,31.345,65.165,130.330,-189.540,0,2,0
277,35,M,26.5,44.7,37,22,1.682,23.000,128.000,2.919,0.537,0.367,1.463,1.518,45.681,0.807,47.295,56.606,113.211,-193.122,0,4,0
278,35,M,32.5,56.5,39,26,1.500,24.000,205.000,1.830,0.491,0.573,0.857,2.395,48.520,0.652,49.825,74.381,148.762,-197.611,0,5,0
279,35,M,27.7,42.3,47,24,1.958,20.000,100.000,2.006,0.890,0.302,2.945,2.103,29.960,0.348,30.657,86.033,172.065,-193.079,0,3,0
280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,35,M,28.3,35.1,52,29,1.793,23.000,95.000,1.028,0.864,0.229,3.766,1.747,26.696,0.314,27.325,84.942,169.884,-191.355,0,3,0
282,35,M,32,40.9,52,17,3.059,17.000,76.000,2.856,0.534,0.253,2.112,1.869,24.812,0.416,25.643,59.712,119.425,-185.624,0,3,0
283,35,M,29.5,42.8,48,35,1.371,25.000,96.000,3.926,0.693,0.520,1.332,2.267,34.988,0.767,36.522,45.624,91.248,-186.628,0,4,0
284,35,M,28.1,36.2,38,31,1.226,28.000,97.000,3.249,0.715,0.224,3.190,1.727,27.972,0.494,28.960,56.648,113.296,-186.529,0,4,0
285,35,M,36.3,46.2,41,23,1.783,17.000,111.000,2.123,0.543,0.237,2.290,2.517,59.300,0.833,60.965,71.203,142.407,-199.724,0,3,0
286,35,M,31.5,39.6,33,20,1.650,21.000,97.000,3.118,0.727,0.223,3.263,1.704,25.433,0.451,26.335,56.390,112.779,-185.187,0,2,0
287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,35,M,37.7,46.2,50,29,1.724,29.000,106.000,1.472,0.574,0.206,2.788,2.355,23.424,0.440,24.305,53.211,106.422,-183.298,0,3,1
289,35,M,28.3,50.3,48,28,1.714,17.000,169.000,5.230,0.502,0.481,1.043,3.113,37.092,0.375,37.842,98.964,197.928,-197.839,0,4,0
290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,35,M,37,60,54,30,1.800,26.000,352.000,2.278,1.081,0.368,2.940,3.713,29.498,0.565,30.629,52.165,104.330,-186.134,2,4,0
292,35,M,33.9,44.1,43,33,1.303,20.000,94.000,2.851,0.444,0.233,1.909,1.917,20.620,0.460,21.540,44.824,89.648,-179.272,0,3,0
293,35,M,20.9,25.7,43,25,1.720,18.000,111.000,2.383,0.573,0.327,1.751,1.170,41.094,0.693,42.479,59.323,118.645,-192.329,0,3,0
294,35,M,33.1,43.8,47,20,2.350,19.000,130.000,4.598,0.433,0.558,0.777,1.430,32.322,0.436,33.193,74.201,148.401,-192.109,0,3,0
295,35,M,35.2,58.1,36,31,1.161,27.000,309.000,3.301,0.445,0.277,1.603,2.679,19.883,0.255,20.394,77.857,155.713,-186.215,0,4,0
296,35,F,21.2,33.6,49,22,2.227,22.000,79.000,3.110,1.793,0.021,85.968,1.391,43.120,0.683,44.487,63.120,126.239,-193.812,2,2,0
297,35,F,24.4,35.3,37,17,2.176,22.000,110.000,3.482,1.401,0.262,5.348,1.921,33.782,0.435,34.651,77.717,155.433,-193.327,1,4,0
298,35,F,19.7,29.4,63,23,2.739,24.000,65.000,1.567,1.893,NA,NA,1.108,20.079,0.213,20.505,94.380,188.760,-188.938,0,1,0
299,35,F,22.1,35.5,51,26,1.962,21.000,100.000,3.397,1.173,0.076,15.389,1.310,28.855,0.340,29.535,84.883,169.766,-192.392,1,3,0
300,35,F,19.8,33.9,43,19,2.263,24.000,105.000,1.876,0.997,0.141,7.058,1.100,27.106,0.212,27.530,128.107,256.214,-197.092,1,3,1
301,35,F,21.8,35,48,22,2.182,26.000,85.000,1.769,1.438,0.213,6.765,1.651,35.751,0.482,36.714,74.213,148.427,-193.469,0,5,0
302,35,F,23.9,40.1,44,23,1.913,28.000,99.000,6.717,1.729,0.203,8.513,1.509,16.370,0.276,16.922,59.304,118.609,-179.933,0,3,0
303,35,F,23.4,35.2,51,21,2.429,21.000,119.000,2.325,1.117,0.343,3.257,1.325,28.888,0.361,29.610,79.956,159.912,-191.602,0,3,0
304,35,F,25.1,45.3,NA,23,NA,25.000,100.000,2.512,1.442,0.100,14.366,1.341,22.066,0.295,22.656,74.809,149.619,-187.080,0,4,0
305,35,F,23.5,36.7,49,18,2.722,20.000,95.000,1.840,1.256,0.164,7.658,1.425,20.325,0.310,20.945,65.554,131.108,-184.195,1,3,0
306,35,F,24,32.1,54,35,1.543,29.000,100.000,2.114,1.021,0.018,56.245,1.369,18.048,0.281,18.610,64.198,128.395,-182.314,0,3,0
307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,35,F,25.4,30.9,50,27,1.852,20.000,93.000,2.105,2.424,NA,NA,1.589,40.335,0.477,41.289,84.581,169.163,-196.854,0,2,2
309,35,F,19.7,30.1,61,27,2.259,24.000,97.000,1.963,1.677,NA,NA,1.155,19.840,0.287,20.413,69.230,138.461,-184.605,0,3,0
310,35,F,20.6,23.2,46,19,2.421,21.000,91.000,2.791,2.066,NA,NA,0.901,25.485,0.326,26.137,78.230,156.459,-189.621,0,1,0
311,35,F,22,29.7,55,27,2.037,22.000,106.000,3.663,1.976,0.045,43.548,1.300,21.751,0.335,22.422,64.872,129.743,-184.968,0,3,0
312,35,F,21.9,35.2,40,20,2.000,23.000,82.000,2.753,1.728,NA,NA,1.306,15.925,0.268,16.462,59.317,118.634,-179.565,1,3,1
313,35,F,26.1,45,50,33,1.515,29.000,77.000,2.091,1.735,0.011,161.363,1.688,30.725,0.501,31.726,61.357,122.715,-188.868,1,3,0
314,35,F,22.2,27.4,42,20,2.100,22.000,105.000,0.790,1.422,0.034,42.078,1.263,17.862,0.432,18.725,41.368,82.736,-176.258,0,3,0
315,35,F,23.8,42.7,56,25,2.240,23.000,83.000,2.431,1.625,0.040,41.126,1.427,24.730,0.299,25.328,82.645,165.290,-189.955,0,4,0
316,35,F,24.4,39.2,44,25,1.760,22.000,84.000,1.903,1.930,0.095,20.374,1.634,35.999,0.601,37.202,59.862,119.724,-190.669,0,4,0
