Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic Total Glutathione (nmol/mg),Hepatic GSH (nmol/mg),Hepatic GSSG (nmol/mg),Hepatic GSH/GSSG,Hepatic Eh (mV)
132,32,M,12.718,12.164,0.277,43.931,-171.896,60.712,59.103,0.805,73.434,-200.094
133,32,M,20.453,20.047,0.203,98.642,-189.511,53.824,52.55,0.637,82.479,-200.076
134,32,M,15.932,15.606,0.163,95.847,-185.753,66.151,65.318,0.417,156.81,-211.655
135,32,M,16.77,16.377,0.196,83.36,-184.523,54.418,52.914,0.752,70.369,-198.031
136,32,M,17.263,16.718,0.272,61.35,-180.673,53.16,52.433,0.364,144.187,-207.566
137,32,M,17.809,17.59,0.11,160.364,-194.293,68.955,67.826,0.564,120.168,-208.579
138,32,M,13.446,13.196,0.125,105.445,-184.779,NA,NA,1.289,NA,NA
139,32,M,17.591,16.95,0.32,52.895,-178.862,78.192,77.132,0.53,145.586,-212.893
140,32,M,22.67,22.074,0.298,74.159,-186.968,51.826,51.13,0.348,146.931,-207.481
141,32,M,14.391,14.079,0.156,90.148,-183.541,69.171,67.622,0.775,87.305,-204.237
142,32,M,11.343,10.797,0.273,39.577,-168.885,44.62,43.232,0.694,62.292,-193.669
143,32,M,25.157,24.427,0.365,66.935,-186.951,79.625,77.795,0.915,85.006,-205.764
144,32,M,15.408,14.762,0.323,45.702,-175.033,57.741,56.232,0.755,74.522,-199.622
145,32,M,16.208,15.203,0.502,30.267,-169.882,56.625,55.115,0.755,72.992,-199.073
146,32,M,20.031,18.939,0.546,34.708,-174.684,38.563,38.114,0.225,169.761,-205.471
147,32,M,17.873,17.19,0.342,50.335,-178.384,83.258,78.682,2.288,34.392,-193.734
148,32,M,23.734,21.795,0.97,22.479,-170.726,43.424,42.728,0.348,122.759,-202.645
149,32,M,23.729,23.045,0.342,67.39,-186.258,42.614,41.773,0.421,99.286,-199.483
150,32,M,16.571,15.11,0.731,20.675,-164.667,78.654,77.036,0.809,95.217,-207.16
151,32,M,27.81,27.169,0.321,84.707,-191.554,55.501,54.379,0.561,97.002,-202.721
152,32,M,20.382,19.68,0.351,56.058,-181.654,61.711,59.979,0.866,69.23,-199.499
153,32,M,10.265,9.941,0.162,61.509,-173.71,37.538,36.735,0.402,91.472,-196.649
154,32,M,16.22,15.85,0.185,85.649,-184.447,85.761,84.067,0.847,99.264,-208.896
155,32,M,12.52,12.208,0.156,78.416,-179.745,42.876,42.043,0.416,100.951,-199.794
156,32,M,9.171,8.56,0.306,27.993,-161.097,74.963,73.523,0.72,102.144,-207.477
157,32,M,16.163,15.872,0.146,108.786,-187.685,61.245,59.704,0.77,77.496,-200.956
158,32,M,19.421,19.14,0.141,136.197,-193.231,65.853,64.529,0.662,97.43,-205.084
159,32,M,24.037,23.537,0.25,94.142,-191.043,44.336,42.982,0.677,63.495,-193.849
160,32,M,14.479,13.85,0.315,44.036,-173.674,60.491,59.287,0.602,98.513,-204.092
161,32,F,23.109,22.434,0.338,66.431,-185.703,56.753,55.623,0.565,98.516,-203.234
162,32,F,24.058,23.452,0.303,77.446,-188.367,61.52,59.89,0.815,73.503,-200.285
163,32,F,19.825,19.072,0.377,50.626,-179.86,58.389,57.501,0.444,129.462,-207.358
164,32,F,22.744,21.967,0.388,56.596,-183.264,41.543,40.543,0.5,81.059,-196.35
165,32,F,17.42,16.522,0.449,36.781,-173.626,66.405,65.289,0.558,117.014,-207.707
166,32,F,11.158,10.521,0.319,33.024,-166.099,30.435,29.872,0.282,106.014,-195.851
167,32,F,18.858,18.151,0.354,51.326,-179.378,69.612,67.875,0.869,78.119,-202.79
168,32,F,11.549,10.962,0.294,37.302,-168.292,44.263,43.617,0.323,134.892,-204.191
169,32,F,7.648,7.161,0.244,29.368,-159.34,34.873,33.884,0.495,68.499,-191.668
170,32,F,20.976,20.56,0.208,98.835,-189.878,50.55,48.991,0.78,62.844,-195.472
171,32,F,12.335,11.819,0.258,45.806,-172.071,46.656,45.294,0.681,66.497,-195.176
172,32,F,16.432,15.81,0.311,50.848,-177.394,37.025,35.796,0.615,58.21,-190.216
173,32,F,22.868,22.236,0.316,70.468,-186.379,52.254,51.148,0.553,92.54,-201.262
174,32,F,19.101,18.754,0.174,107.98,-189.832,57.373,54.028,1.672,32.304,-187.83
175,32,F,14.404,13.806,0.299,46.163,-174.267,42.062,40.877,0.592,69.011,-194.294
176,32,F,23.295,22.485,0.405,55.465,-183.305,44.624,43.273,0.675,64.063,-194.06
177,32,F,11.113,9.887,0.613,16.122,-155.609,65.031,63.604,0.713,89.172,-203.697
178,32,F,27.961,26.729,0.616,43.4,-182.331,67.702,66.38,0.661,100.373,-205.865
179,32,F,8.661,7.859,0.401,19.592,-155.142,50.039,48.678,0.681,71.503,-197.123
180,32,F,17.365,16.552,0.407,40.716,-175.019,57.634,55.553,1.04,53.392,-194.97
181,32,F,25.284,24.784,0.25,99.142,-192.435,23.096,22.179,0.458,48.408,-181.289
182,32,F,20.267,19.739,0.264,74.754,-185.57,62.46,61.091,0.684,89.296,-203.173
183,32,F,21.539,21.04,0.249,84.396,-188.063,39.685,38.593,0.546,70.703,-193.846
184,32,F,22.524,21.92,0.302,72.51,-186.57,48.025,46.445,0.79,58.794,-193.857
185,32,F,12.132,11.615,0.259,44.926,-171.575,41.96,41.295,0.332,124.199,-202.342
186,32,F,20.164,19.555,0.304,64.236,-183.402,39.629,38.685,0.472,81.883,-195.855
187,32,F,26.997,26.184,0.406,64.442,-187.375,105.566,103.986,0.79,131.606,-215.556
188,32,F,21.282,20.39,0.446,45.726,-179.389,44.906,43.736,0.585,74.777,-196.285
189,32,F,21.576,21.116,0.23,91.85,-189.25,54.876,53.721,0.578,93.017,-201.992
190,32,F,9.685,8.799,0.443,19.851,-156.841,39.124,38.101,0.511,74.524,-194.382
191,32,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,32,F,12.538,11.249,0.645,17.443,-158.406,51.646,51.069,0.288,177.181,-209.986
193,32,F,28.556,28.091,0.233,120.705,-196.771,49.565,48.404,0.58,83.435,-199.125
194,32,F,17.577,17.041,0.268,63.583,-181.412,47.565,46.726,0.42,111.349,-202.535
195,32,F,27.75,26.363,0.694,38.013,-180.36,35.559,34.508,0.525,65.682,-191.348
196,32,F,24.296,23.369,0.464,50.408,-182.537,66.9,65.85,0.525,125.492,-208.764
197,32,F,23.099,22.605,0.247,91.507,-190.117,44.14,43.049,0.546,78.871,-196.789
198,32,F,18.995,18.291,0.352,52.007,-179.659,55.449,53.834,0.808,66.641,-197.531
199,32,F,19.35,18.25,0.55,33.17,-173.574,51.641,50.428,0.606,83.156,-199.631
200,32,F,24.507,23.646,0.431,54.919,-183.85,56.342,54.852,0.745,73.668,-199.133
201,32,F,10.336,9.829,0.253,38.808,-167.357,36.04,35.503,0.268,132.278,-201.156
202,32,F,17.099,16.718,0.19,87.965,-185.525,61.968,60.38,0.794,76.028,-200.85
203,32,F,5.069,4.744,0.163,29.19,-153.714,36.928,36.232,0.348,104.078,-198.202
204,32,F,11.997,11.35,0.323,35.092,-167.938,57.724,55.042,1.341,41.043,-191.304
205,32,F,19.79,19.342,0.224,86.46,-187.255,37.233,36.084,0.575,62.786,-191.343
206,32,F,19.339,18.534,0.402,46.088,-178.21,54.884,53.802,0.541,99.446,-202.912
207,32,F,21.535,20.773,0.381,54.512,-182.006,32.618,31.572,0.523,60.35,-189.011
208,32,F,24.322,23.483,0.42,55.928,-184.002,56.486,55.098,0.694,79.4,-200.202
209,32,F,16.856,16.391,0.233,70.392,-182.258,64.977,64.002,0.488,131.285,-208.989
210,32,F,25.7,25.407,0.146,173.517,-200.305,56.898,55.141,0.878,62.782,-197.051
211,32,F,26.515,25.851,0.332,77.882,-189.753,98.301,96.583,0.859,112.411,-212.439
212,32,F,23.354,22.468,0.443,50.752,-182.1,63.838,61.955,0.942,65.78,-199.247
213,32,F,20.292,19.862,0.215,92.334,-188.496,69.329,67.464,0.933,72.347,-201.675
214,32,F,6.16,5.602,0.279,20.077,-150.914,40.451,39.903,0.274,145.509,-204.013
215,32,F,14.846,14.15,0.348,40.651,-172.886,61.523,59.79,0.866,69.012,-199.414
216,32,F,8.917,8.174,0.372,22.001,-157.232,59.272,57.831,0.72,80.296,-201.004
217,32,F,16.771,16.343,0.214,76.371,-183.316,44.637,43.658,0.49,89.139,-198.626
218,32,F,23.903,22.969,0.467,49.184,-181.974,45.301,44.523,0.389,114.409,-202.25
219,32,F,25.756,24.987,0.384,65.032,-186.868,54.951,53.59,0.681,78.745,-199.716
220,32,F,21.171,20.556,0.307,66.873,-184.616,50.382,49.146,0.618,79.498,-198.679
221,35,M,25.209,24.639,0.285,86.513,-190.522,23.301,22.848,0.226,101.011,-191.592
222,35,M,15.791,15.234,0.279,54.692,-177.875,34.498,33.624,0.437,76.926,-193.126
223,35,M,19.616,18.939,0.338,55.997,-181.123,35.175,34.073,0.551,61.836,-190.365
224,35,M,8.155,7.836,0.159,49.154,-167.487,56.621,55.034,0.794,69.333,-198.361
225,35,M,23.397,22.809,0.294,77.545,-188.009,42.575,41.679,0.448,93.065,-198.582
226,35,M,15.488,14.538,0.475,30.584,-169.42,30.343,29.607,0.368,80.415,-192.011
227,35,M,10.309,9.841,0.234,41.983,-168.431,32.581,31.405,0.588,53.406,-187.294
228,35,M,9.692,9.459,0.117,81.134,-176.768,53.169,51.874,0.648,80.106,-199.509
229,35,M,22.053,21.644,0.204,106.05,-191.518,20.651,19.938,0.357,55.922,-181.797
230,35,M,19.408,18.153,0.628,28.927,-171.66,47.851,46.674,0.588,79.32,-197.954
231,35,M,22.877,22.293,0.292,76.42,-187.505,29.769,29.083,0.343,84.761,-192.479
232,35,M,13.883,13.133,0.375,35.005,-169.869,22.901,22.039,0.431,51.102,-181.932
233,35,M,12.901,12.473,0.214,58.264,-176.034,49.581,48.495,0.543,89.308,-200.066
234,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,35,M,14.47,13.932,0.269,51.841,-175.951,47.235,45.903,0.666,68.935,-195.841
236,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
