Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic NADPH (pmol/ug),Hepatic NADP (pmol/ug),Hepatic NADP/NADPH,Hepatic NADH (pmol/ug)
104,32,M,18.461,18.006,0.227,79.156,-185.103,0.226,0.353,1.564,2.915
105,32,M,22.64,22.181,0.229,96.667,-190.601,0.1,0.33,3.3,4.275
106,32,M,19.889,19.095,0.397,48.082,-179.182,0.228,0.367,1.613,4
107,32,M,18.653,18.422,0.115,159.978,-194.884,0.128,0.29,2.257,3.739
108,32,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,32,M,13.61,13.313,0.149,89.586,-182.704,0.198,0.255,1.287,4.141
110,32,M,20.314,19.962,0.176,113.268,-191.316,0.17,0.548,3.232,2.607
111,32,M,16.033,15.697,0.168,93.519,-185.5,0.245,0.219,0.895,3.012
112,32,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,32,M,14.524,14.022,0.251,55.864,-177.044,0.149,0.313,2.099,2.902
114,32,M,20.648,20.103,0.272,73.788,-185.64,0.218,0.277,1.266,3.21
115,32,M,15.024,14.665,0.179,81.768,-182.777,0.15,0.422,2.819,3.084
116,32,M,23.031,22.483,0.274,82.096,-188.583,0.07,0.356,5.087,3.01
117,32,M,11.607,11.432,0.088,130.651,-185.734,0.087,0.343,3.942,2.785
118,32,M,17.322,16.807,0.257,65.277,-181.58,0.35,0.733,2.095,3.362
119,32,M,21.056,20.387,0.335,60.884,-183.241,0.242,0.52,2.149,2.881
120,32,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,32,M,7.888,7.311,0.289,25.337,-157.632,0.344,0.78,2.269,4.979
122,32,M,14.926,14.462,0.232,62.232,-178.913,0.139,0.885,6.352,2.553
123,32,M,13.033,12.321,0.356,34.629,-168.865,0.215,0.629,2.932,3.338
124,32,M,16.058,15.583,0.237,65.705,-180.65,0.277,1.028,3.711,2.519
125,32,M,14.71,14.291,0.21,68.172,-179.98,0.457,0.85,1.858,3.789
126,32,M,8.06,7.316,0.372,19.668,-154.232,0.161,0.933,5.8,3.302
127,32,M,11.614,11.057,0.278,39.732,-169.258,0.287,0.727,2.528,3.684
128,32,M,6.699,6.4,0.15,42.79,-162.895,0.339,0.77,2.273,2.731
129,32,M,14.167,13.567,0.3,45.265,-173.767,0.301,0.835,2.777,3.483
130,32,M,18.569,18.104,0.233,77.773,-184.938,0.34,0.157,0.46,2.33
131,32,M,12.513,11.595,0.459,25.235,-163.786,0.347,0.921,2.655,4.784
132,32,M,12.718,12.164,0.277,43.931,-171.896,0.134,0.309,2.297,3.277
133,32,M,20.453,20.047,0.203,98.642,-189.511,0.274,0.666,2.433,3.387
134,32,M,15.932,15.606,0.163,95.847,-185.753,0.34,0.741,2.179,4.488
135,32,M,16.77,16.377,0.196,83.36,-184.523,0.346,0.503,1.454,3.957
136,32,M,17.263,16.718,0.272,61.35,-180.673,0.162,0.622,3.849,4.153
137,32,M,17.809,17.59,0.11,160.364,-194.293,0.416,1.167,2.807,3.946
138,32,M,13.446,13.196,0.125,105.445,-184.779,0.595,1.007,1.693,5.008
139,32,M,17.591,16.95,0.32,52.895,-178.862,0.421,0.708,1.683,3.141
140,32,M,22.67,22.074,0.298,74.159,-186.968,0.322,0.812,2.521,3.326
141,32,M,14.391,14.079,0.156,90.148,-183.541,0.347,0.892,2.571,1.681
142,32,M,11.343,10.797,0.273,39.577,-168.885,0.254,0.996,3.923,2.899
143,32,M,25.157,24.427,0.365,66.935,-186.951,0.584,0.794,1.36,3.63
144,32,M,15.408,14.762,0.323,45.702,-175.033,0.614,0.661,1.076,3.438
145,32,M,16.208,15.203,0.502,30.267,-169.882,0.247,0.781,3.16,3.333
146,32,M,20.031,18.939,0.546,34.708,-174.684,0.239,0.774,3.241,4.315
147,32,M,17.873,17.19,0.342,50.335,-178.384,0.221,0.86,3.885,3.973
148,32,M,23.734,21.795,0.97,22.479,-170.726,0.182,0.778,4.28,2.179
149,32,M,23.729,23.045,0.342,67.39,-186.258,0.295,0.653,2.211,2.981
