Mouse,Generation,Sex,InitialWeight,FinalWeight,AST,ALT,ASTALTRatio,BUN,Glucose,NADPH,NADP,NADPNADPHRatio,NADH,LiverWeight,LiverTotalGSH,LiverGSH,LiverGSSG,LiverGSHGSSGRatio,LiverEh,Steatosis,Ballooning,Fibrosis,Inflammation,KidneyTotalGSH,KidneyGSH,KidneyGSSG,KidneyGSHGSSGRatio,KidneyEh
288,35,M,37.7,46.2,50,29,1.724,29,106,0.206,0.574,2.788,1.472,2.355,24.305,23.424,0.44,53.211,-183.298,0,3,1,3,14.612,14.017,0.298,47.108,-174.745
289,35,M,28.3,50.3,48,28,1.714,17,169,0.481,0.502,1.043,5.23,3.113,37.842,37.092,0.375,98.964,-197.839,0,4,0,2,24.387,24.11,0.139,173.867,-199.627
290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,35,M,37,60,54,30,1.8,26,352,0.368,1.081,2.94,2.278,3.713,30.629,29.498,0.565,52.165,-186.134,2,4,0,1,7.571,7.123,0.224,31.758,-160.322
292,35,M,33.9,44.1,43,33,1.303,20,94,0.233,0.444,1.909,2.851,1.917,21.54,20.62,0.46,44.824,-179.272,0,3,0,2,10.005,9.574,0.215,44.471,-168.837
293,35,M,20.9,25.7,43,25,1.72,18,111,0.327,0.573,1.751,2.383,1.17,42.479,41.094,0.693,59.323,-192.329,0,3,0,1,11.585,11.001,0.292,37.673,-168.474
294,35,M,33.1,43.8,47,20,2.35,19,130,0.558,0.433,0.777,4.598,1.43,33.193,32.322,0.436,74.201,-192.109,0,3,0,2,9.136,8.716,0.21,41.544,-166.656
295,35,M,35.2,58.1,36,31,1.161,27,309,0.277,0.445,1.603,3.301,2.679,20.394,19.883,0.255,77.857,-186.215,0,4,0,1,18.539,18.191,0.174,104.524,-188.983
296,35,F,21.2,33.6,49,22,2.227,22,79,0.021,1.793,85.968,3.11,1.391,44.487,43.12,0.683,63.12,-193.812,2,2,0,1,10.941,9.159,0.891,10.28,-148.522
297,35,F,24.4,35.3,37,17,2.176,22,110,0.262,1.401,5.348,3.482,1.921,34.651,33.782,0.435,77.717,-193.327,1,4,0,2,11.474,11.032,0.221,50.007,-172.324
298,35,F,19.7,29.4,63,23,2.739,24,65,NA,1.893,NA,1.567,1.108,20.505,20.079,0.213,94.38,-188.938,0,1,0,1,10.412,9.826,0.293,33.505,-165.373
299,35,F,22.1,35.5,51,26,1.962,21,100,0.076,1.173,15.389,3.397,1.31,29.535,28.855,0.34,84.883,-192.392,1,3,0,1,32.619,31.609,0.505,62.579,-189.515
300,35,F,19.8,33.9,43,19,2.263,24,105,0.141,0.997,7.058,1.876,1.1,27.53,27.106,0.212,128.107,-197.092,1,3,1,3,33.053,32.061,0.496,64.609,-190.136
301,35,F,21.8,35,48,22,2.182,26,85,0.213,1.438,6.765,1.769,1.651,36.714,35.751,0.482,74.213,-193.469,0,5,0,1,11.011,9.767,0.622,15.692,-155.08
302,35,F,23.9,40.1,44,23,1.913,28,99,0.203,1.729,8.513,6.717,1.509,16.922,16.37,0.276,59.304,-179.933,0,3,0,1,7.894,7.24,0.327,22.134,-155.681
303,35,F,23.4,35.2,51,21,2.429,21,119,0.343,1.117,3.257,2.325,1.325,29.61,28.888,0.361,79.956,-191.602,0,3,0,2,21.61,20.619,0.495,41.616,-178.272
304,35,F,25.1,45.3,NA,23,NA,25,100,0.1,1.442,14.366,2.512,1.341,22.656,22.066,0.295,74.809,-187.08,0,4,0,2,12.901,12.05,0.425,28.336,-165.866
305,35,F,23.5,36.7,49,18,2.722,20,95,0.164,1.256,7.658,1.84,1.425,20.945,20.325,0.31,65.554,-184.195,1,3,0,2,20.493,20.095,0.199,100.84,-189.84
306,35,F,24,32.1,54,35,1.543,29,100,0.018,1.021,56.245,2.114,1.369,18.61,18.048,0.281,64.198,-182.314,0,3,0,1,21.709,21.178,0.265,79.784,-187.394
307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,35,F,25.4,30.9,50,27,1.852,20,93,NA,2.424,NA,2.105,1.589,41.289,40.335,0.477,84.581,-196.854,0,2,2,4,7.744,7.363,0.19,38.677,-163.421
309,35,F,19.7,30.1,61,27,2.259,24,97,NA,1.677,NA,1.963,1.155,20.413,19.84,0.287,69.23,-184.605,0,3,0,1,14.735,14.089,0.323,43.615,-173.776
310,35,F,20.6,23.2,46,19,2.421,21,91,NA,2.066,NA,2.791,0.901,26.137,25.485,0.326,78.23,-189.621,0,1,0,1,13.053,12.621,0.216,58.424,-176.23
311,35,F,22,29.7,55,27,2.037,22,106,0.045,1.976,43.548,3.663,1.3,22.422,21.751,0.335,64.872,-184.968,0,3,0,1,12.45,11.954,0.248,48.169,-172.901
312,35,F,21.9,35.2,40,20,2,23,82,NA,1.728,NA,2.753,1.306,16.462,15.925,0.268,59.317,-179.565,1,3,1,1,15.116,14.686,0.215,68.261,-180.365
313,35,F,26.1,45,50,33,1.515,29,77,0.011,1.735,161.363,2.091,1.688,31.726,30.725,0.501,61.357,-188.868,1,3,0,2,12.399,10.974,0.713,15.402,-156.398
314,35,F,22.2,27.4,42,20,2.1,22,105,0.034,1.422,42.078,0.79,1.263,18.725,17.862,0.432,41.368,-176.258,0,3,0,2,23.933,21.074,1.429,14.743,-164.594
315,35,F,23.8,42.7,56,25,2.24,23,83,0.04,1.625,41.126,2.431,1.427,25.328,24.73,0.299,82.645,-189.955,0,4,0,2,15.541,14.813,0.364,40.7,-173.52
316,35,F,24.4,39.2,44,25,1.76,22,84,0.095,1.93,20.374,1.903,1.634,37.202,35.999,0.601,59.862,-190.669,0,4,0,1,17.374,16.732,0.321,52.047,-178.47
317,35,F,25.9,44.8,65,43,1.512,21,91,0.027,2.261,83.817,1.86,1.881,23.154,22.289,0.432,51.561,-182.205,0,2,0,1,24.648,23.952,0.348,68.849,-187.066
318,35,F,26.7,47.8,37,17,2.176,22,74,0.016,2.007,126.88,1.613,1.645,43.224,42.059,0.582,72.233,-195.292,0,5,0,2,10.416,9.503,0.456,20.817,-158.517
319,35,F,22.7,42.7,47,30,1.567,27,120,0.034,1.612,46.997,0.304,2.112,34.151,33.31,0.42,79.254,-193.401,0,4,0,3,9.052,8.516,0.268,31.769,-162.732
320,35,F,28.3,43.4,41,21,1.952,22,103,0.043,1.744,40.932,1.586,1.272,26.235,25.803,0.216,119.406,-195.481,0,3,0,1,12.917,12.362,0.277,44.564,-172.305
321,35,F,26.1,51.2,56,39,1.436,27,142,0.049,1.518,31.273,2.231,2.361,37.272,36.225,0.524,69.173,-192.699,0,4,0,2,16.845,16.129,0.358,45.091,-176.045
322,35,F,28.5,49.3,45,26,1.731,24,114,0.036,1.298,36.534,2.807,1.676,24.158,23.31,0.424,54.968,-183.669,1,3,0,3,16.724,15.643,0.54,28.952,-169.668
323,35,F,23.1,37.6,52,17,3.059,20,95,0.016,1.519,96.059,1.554,1.356,21.443,20.95,0.247,84.843,-188.075,0,2,0,2,21.118,20.753,0.182,113.804,-191.903
324,35,F,25,41.1,31,16,1.938,24,98,0.023,1.856,80.082,1.266,1.144,39.901,38.992,0.455,85.769,-196.585,0,2,0,2,8.671,8.301,0.185,44.879,-167.038
325,35,F,25.9,42.9,52,37,1.405,26,68,0.131,1.877,14.376,1.392,1.625,33.606,32.633,0.486,67.085,-190.881,1,4,0,1,11.21,10.657,0.277,38.531,-168.349
326,35,F,24.6,35.9,36,23,1.565,20,142,0.02,1.742,85.645,0.512,2.226,42.943,41.871,0.536,78.052,-196.275,0,3,0,2,18.223,17.722,0.25,70.834,-183.393
327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,35,F,19.4,33.9,45,22,2.045,24,85,NA,1.4,NA,0.754,1.264,14.356,13.934,0.211,65.981,-179.2,0,3,0,2,17.958,17.42,0.269,64.697,-181.941
329,35,F,23.5,34.9,36,20,1.8,17,115,NA,1.921,NA,0.774,1.123,22.431,21.872,0.28,78.226,-187.562,0,2,0,2,8.533,7.967,0.283,28.193,-160.227
330,35,F,29.5,43.3,46,32,1.438,20,96,0.148,1.791,12.126,2.678,2.001,27.948,27.208,0.37,73.505,-189.663,0,3,1,2,8.539,8.061,0.239,33.709,-162.789
331,35,F,18.7,28.5,82,23,3.565,17,99,0.093,1.128,12.189,1.95,1.381,35.638,34.974,0.332,105.349,-197.89,0,4,0,2,8.402,7.469,0.466,16.019,-151.747
332,35,F,24.4,43.8,42,22,1.909,22,90,0.156,1.266,8.123,2.851,1.688,33.206,32.639,0.283,115.3,-198.175,1,4,0,2,13.683,13.19,0.247,53.474,-175.632
333,35,F,23.6,30.1,44,22,2,16,107,0.151,1.213,8.045,1.716,1.42,16.531,16.008,0.262,61.173,-180.05,0,4,0,2,38.616,35.949,1.333,26.959,-179.91
334,35,F,25.2,30.4,49,21,2.333,19,82,NA,1.408,NA,1.255,1.62,25.28,24.424,0.428,57.068,-184.802,1,3,0,1,10.989,9.831,0.579,16.994,-156.242
335,35,F,24.4,46.9,39,23,1.696,20,110,0.116,1.208,10.43,1.71,1.418,23.19,22.57,0.31,72.848,-187.026,0,3,0,1,6.974,6.71,0.132,50.81,-165.844
336,35,F,24.2,34,46,19,2.421,20,84,0.16,0.602,3.759,1.444,1.449,30.637,29.852,0.392,76.072,-191.374,0,3,0,1,19.011,18.081,0.465,38.861,-175.58
337,35,F,24.6,30.8,119,30,3.967,25,89,0.106,1.341,12.626,1.544,1.258,30.849,30.424,0.212,143.239,-200.15,0,3,0,1,13.89,13.254,0.318,41.678,-172.342
338,35,F,23.1,38.3,58,56,1.036,27,94,0.092,1.189,12.995,1.028,1.777,39.292,38.306,0.493,77.758,-195.026,0,3,1,4,24.072,23.462,0.305,76.897,-188.277
339,35,F,24.4,41.7,50,20,2.5,26,84,NA,1.24,NA,1.648,1.51,11.813,11.532,0.14,82.21,-179.614,0,4,1,2,24.566,23.356,0.605,38.599,-178.936
340,35,F,19.3,24.4,67,28,2.393,24,83,0.105,1.36,12.939,1.92,1.183,51.081,49.8,0.64,77.768,-198.561,0,2,0,2,10.143,9.727,0.208,46.814,-169.741
341,35,F,24.5,36.3,50,21,2.381,33,82,0.214,0.926,4.317,1.704,1.915,21.928,21.391,0.269,79.622,-187.501,0,4,0,3,11.092,10.739,0.176,60.848,-174.603
342,35,F,19.5,38.2,50,24,2.083,27,97,0.126,1.039,8.256,1.616,1.405,41.571,40.587,0.492,82.517,-196.605,0,3,0,2,8.438,7.986,0.226,35.354,-163.305
343,35,F,36.6,54.3,42,24,1.75,18,84,0.106,1.666,15.775,2.465,2.671,35.239,34.281,0.479,71.624,-192.425,0,4,0,2,10.655,9.913,0.371,26.744,-162.459
344,35,F,24.1,39.2,66,33,2,21,125,0.104,1.379,13.232,1.887,1.547,25.681,24.942,0.369,67.552,-187.356,0,3,0,2,13.529,13.082,0.223,58.574,-176.748
345,35,F,23.3,34.4,45,19,2.368,21,108,0.094,1.049,11.18,1.686,1.556,31.062,30.013,0.525,57.187,-187.605,0,4,0,3,8.772,8.149,0.312,26.157,-159.521
346,35,F,27.2,46.2,39,24,1.625,25,85,0.09,1.142,12.705,1.169,2.355,22.866,22.108,0.379,58.32,-183.753,0,4,0,2,13.667,13.106,0.281,46.648,-173.707
347,35,F,21.3,34.7,50,22,2.273,20,105,0.061,1.033,16.87,1.077,1.42,28.976,27.955,0.51,54.781,-186.07,1,3,1,1,13.903,13.356,0.274,48.795,-174.568
348,35,F,32,38.6,43,22,1.955,20,88,0.235,1.076,4.584,2.367,1.804,20.613,20.041,0.286,70.073,-184.903,0,3,0,1,19.481,17.655,0.913,19.336,-165.862
349,35,F,24.2,46.2,44,20,2.2,24,92,0.012,1.288,110.527,3.063,1.542,18.818,18.252,0.283,64.511,-182.531,0,4,0,2,19.148,18.104,0.522,34.701,-174.074
350,35,F,24.7,44,39,20,1.95,22,85,0.088,1.215,13.879,4.322,1.44,36.167,34.736,0.715,48.552,-187.369,0,4,0,2,14.006,12.515,0.745,16.79,-159.329
351,35,F,23.7,33.4,40,22,1.818,18,100,NA,1.471,NA,2.506,1.351,29.868,29.084,0.392,74.137,-190.676,0,3,1,2,9.985,9.727,0.129,75.322,-176.144
352,35,F,24.6,40.8,56,28,2,21,84,0.111,1.24,11.175,2.123,1.765,32.898,31.956,0.471,67.879,-190.757,3,4,0,2,14.905,14.26,0.322,44.271,-174.14
353,35,F,20.8,26.2,58,29,2,22,79,0.014,1.441,106.043,3.141,1.132,17.471,17.101,0.185,92.35,-186.484,0,1,0,2,11.942,11.316,0.313,36.174,-168.307
354,35,F,28,47,28,14,2,22,118,0.094,1.386,14.691,3.338,1.455,29.363,28.043,0.66,42.476,-182.687,0,4,1,2,15.006,14.242,0.382,37.29,-171.812
355,35,F,23,37.1,56,25,2.24,21,80,0.022,1.314,58.83,2.396,1.572,21.054,20.388,0.333,61.228,-183.318,0,3,0,1,16.573,15.718,0.427,36.782,-172.955
356,35,F,24.5,30,47,21,2.238,21,95,NA,1.326,NA,2.239,1.35,31.221,30.39,0.416,73.139,-191.085,0,3,0,2,10.177,9.549,0.314,30.372,-163.667
357,35,F,26.9,52.8,43,26,1.654,24,107,0.023,1.451,63.767,3.422,1.884,43.221,42.018,0.601,69.882,-194.834,1,4,0,2,8.443,8.021,0.211,38.01,-164.34
358,35,F,18.7,24.2,70,42,1.667,19,75,0.026,1.526,58.677,1.565,1.147,24.904,24.258,0.323,75.057,-188.4,0,3,0,2,20.432,18.921,0.755,25.046,-170.278
359,35,F,22.2,39.1,49,25,1.96,25,101,0.044,1.603,36.595,2.298,1.753,30.612,30.199,0.207,146.051,-200.311,0,4,0,2,8.659,8.214,0.223,36.872,-164.25
360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,35,F,19,27.1,70,31,2.258,26,102,0.029,1.451,50.363,3.338,1.124,25.924,24.94,0.492,50.694,-183.489,0,4,0,2,10.067,9.602,0.232,41.318,-167.885
362,35,F,25.5,49.5,45,33,1.364,20,117,0.244,1.175,4.824,2.94,1.911,30.456,29.422,0.517,56.902,-187.27,1,4,0,2,6.613,6.047,0.283,21.37,-152.784
363,35,F,24.7,34.2,57,19,3,18,112,0.023,1.065,45.669,3.116,1.343,28.022,27.407,0.307,89.159,-192.361,0,4,0,2,14.89,13.952,0.469,29.751,-168.494
364,35,F,20.2,33,48,20,2.4,25,92,0.175,1.057,6.03,3.157,1.136,19.273,18.704,0.285,65.65,-183.096,0,4,0,1,6.264,5.848,0.208,28.173,-156.055
365,35,F,21.7,41.8,54,23,2.348,19,137,0.121,1.06,8.784,1.996,1.646,26.485,25.518,0.484,52.752,-184.333,0,4,0,2,8.419,7.547,0.436,17.316,-152.935
