Mouse,Generation,Sex,Total Glutathione (nmol/mg),GSH (nmol/mg),GSSG (nmol/mg),GSH/GSSG,Eh (mV),NADPH (pmol/ug),NADP (pmol/ug),NADP/NADPH,NADH (pmol/ug),Liver Weight (g)
136,32,M,53.16,52.433,0.364,144.187,-207.566,0.162,0.622,3.849,4.153,1.587
137,32,M,68.955,67.826,0.564,120.168,-208.579,0.416,1.167,2.807,3.946,2.1
138,32,M,NA,NA,1.289,NA,NA,0.595,1.007,1.693,5.008,2.351
139,32,M,78.192,77.132,0.53,145.586,-212.893,0.421,0.708,1.683,3.141,1.522
140,32,M,51.826,51.13,0.348,146.931,-207.481,0.322,0.812,2.521,3.326,1.649
141,32,M,69.171,67.622,0.775,87.305,-204.237,0.347,0.892,2.571,1.681,1.821
142,32,M,44.62,43.232,0.694,62.292,-193.669,0.254,0.996,3.923,2.899,1.875
143,32,M,79.625,77.795,0.915,85.006,-205.764,0.584,0.794,1.36,3.63,2.173
144,32,M,57.741,56.232,0.755,74.522,-199.622,0.614,0.661,1.076,3.438,2.151
145,32,M,56.625,55.115,0.755,72.992,-199.073,0.247,0.781,3.16,3.333,1.829
146,32,M,38.563,38.114,0.225,169.761,-205.471,0.239,0.774,3.241,4.315,1.334
147,32,M,83.258,78.682,2.288,34.392,-193.734,0.221,0.86,3.885,3.973,2.405
148,32,M,43.424,42.728,0.348,122.759,-202.645,0.182,0.778,4.28,2.179,1.551
149,32,M,42.614,41.773,0.421,99.286,-199.483,0.295,0.653,2.211,2.981,1.577
150,32,M,78.654,77.036,0.809,95.217,-207.16,0.329,0.609,1.848,3.489,1.432
151,32,M,55.501,54.379,0.561,97.002,-202.721,0.323,0.623,1.928,2.954,2.024
152,32,M,61.711,59.979,0.866,69.23,-199.499,0.549,0.613,1.117,3.646,2.158
153,32,M,37.538,36.735,0.402,91.472,-196.649,0.051,0.708,13.906,3.32,2.2
154,32,M,85.761,84.067,0.847,99.264,-208.896,0.382,0.589,1.539,2.496,2.51
155,32,M,42.876,42.043,0.416,100.951,-199.794,0.327,0.656,2.009,2.206,1.928
156,32,M,74.963,73.523,0.72,102.144,-207.477,0.467,2.006,4.295,4.282,1.833
157,32,M,61.245,59.704,0.77,77.496,-200.956,0.898,1.3,1.448,4.703,3.388
158,32,M,65.853,64.529,0.662,97.43,-205.084,0.561,1.417,2.525,3.909,3.214
159,32,M,44.336,42.982,0.677,63.495,-193.849,0.517,1.9,3.674,5.394,1.596
160,32,M,60.491,59.287,0.602,98.513,-204.092,NA,1.414,NA,3.131,2.472
161,32,F,56.753,55.623,0.565,98.516,-203.234,0.434,1.565,3.607,5.006,1.246
162,32,F,61.52,59.89,0.815,73.503,-200.285,0.355,1.57,4.424,3.784,1.876
163,32,F,58.389,57.501,0.444,129.462,-207.358,0.122,2.271,18.68,2.642,1.477
164,32,F,41.543,40.543,0.5,81.059,-196.35,0.421,1.549,3.682,5.149,2.35
165,32,F,66.405,65.289,0.558,117.014,-207.707,0.246,2.575,10.45,6.397,1.14
166,32,F,30.435,29.872,0.282,106.014,-195.851,0.197,2.103,10.686,4.55,1.595
167,32,F,69.612,67.875,0.869,78.119,-202.79,0.349,1.986,5.693,3.385,1.772
168,32,F,44.263,43.617,0.323,134.892,-204.191,0.656,1.388,2.118,3.081,0.965
169,32,F,34.873,33.884,0.495,68.499,-191.668,0.242,1.789,7.406,3.094,1.133
170,32,F,50.55,48.991,0.78,62.844,-195.472,0.366,2.386,6.525,5.01,1.285
171,32,F,46.656,45.294,0.681,66.497,-195.176,0.326,2.132,6.541,3.257,1.9
