Mouse,Generation,Sex,NADH (pmol/ug),NADP (pmol/ug),NADPH (pmol/ug),NADP/NADPH,Liver Weight (g),GSH (nmol/mg),GSSG (nmol/mg),Total Glutathione (nmol/mg),GSH/GSSG,Eh (mV)
127,32,M,3.684,0.727,0.287,2.528,2.247,37.275,0.584,38.444,63.784,-191.992
128,32,M,2.731,0.77,0.339,2.273,1.622,65.643,1.463,68.57,44.854,-194.871
129,32,M,3.483,0.835,0.301,2.777,2.381,58.592,0.624,59.84,93.864,-203.282
130,32,M,2.33,0.157,0.34,0.46,1.535,69.616,0.942,71.499,73.931,-202.39
131,32,M,4.784,0.921,0.347,2.655,2.73,34.452,0.292,35.035,118.009,-199.215
132,32,M,3.277,0.309,0.134,2.297,1.793,59.103,0.805,60.712,73.434,-200.094
133,32,M,3.387,0.666,0.274,2.433,1.693,52.55,0.637,53.824,82.479,-200.076
134,32,M,4.488,0.741,0.34,2.179,1.401,65.318,0.417,66.151,156.81,-211.655
135,32,M,3.957,0.503,0.346,1.454,2.22,52.914,0.752,54.418,70.369,-198.031
136,32,M,4.153,0.622,0.162,3.849,1.587,52.433,0.364,53.16,144.187,-207.566
137,32,M,3.946,1.167,0.416,2.807,2.1,67.826,0.564,68.955,120.168,-208.579
138,32,M,5.008,1.007,0.595,1.693,2.351,NA,1.289,NA,NA,NA
139,32,M,3.141,0.708,0.421,1.683,1.522,77.132,0.53,78.192,145.586,-212.893
140,32,M,3.326,0.812,0.322,2.521,1.649,51.13,0.348,51.826,146.931,-207.481
141,32,M,1.681,0.892,0.347,2.571,1.821,67.622,0.775,69.171,87.305,-204.237
142,32,M,2.899,0.996,0.254,3.923,1.875,43.232,0.694,44.62,62.292,-193.669
143,32,M,3.63,0.794,0.584,1.36,2.173,77.795,0.915,79.625,85.006,-205.764
144,32,M,3.438,0.661,0.614,1.076,2.151,56.232,0.755,57.741,74.522,-199.622
145,32,M,3.333,0.781,0.247,3.16,1.829,55.115,0.755,56.625,72.992,-199.073
146,32,M,4.315,0.774,0.239,3.241,1.334,38.114,0.225,38.563,169.761,-205.471
147,32,M,3.973,0.86,0.221,3.885,2.405,78.682,2.288,83.258,34.392,-193.734
148,32,M,2.179,0.778,0.182,4.28,1.551,42.728,0.348,43.424,122.759,-202.645
149,32,M,2.981,0.653,0.295,2.211,1.577,41.773,0.421,42.614,99.286,-199.483
150,32,M,3.489,0.609,0.329,1.848,1.432,77.036,0.809,78.654,95.217,-207.16
151,32,M,2.954,0.623,0.323,1.928,2.024,54.379,0.561,55.501,97.002,-202.721
152,32,M,3.646,0.613,0.549,1.117,2.158,59.979,0.866,61.711,69.23,-199.499
153,32,M,3.32,0.708,0.051,13.906,2.2,36.735,0.402,37.538,91.472,-196.649
154,32,M,2.496,0.589,0.382,1.539,2.51,84.067,0.847,85.761,99.264,-208.896
155,32,M,2.206,0.656,0.327,2.009,1.928,42.043,0.416,42.876,100.951,-199.794
156,32,M,4.282,2.006,0.467,4.295,1.833,73.523,0.72,74.963,102.144,-207.477
157,32,M,4.703,1.3,0.898,1.448,3.388,59.704,0.77,61.245,77.496,-200.956
158,32,M,3.909,1.417,0.561,2.525,3.214,64.529,0.662,65.853,97.43,-205.084
159,32,M,5.394,1.9,0.517,3.674,1.596,42.982,0.677,44.336,63.495,-193.849
160,32,M,3.131,1.414,NA,NA,2.472,59.287,0.602,60.491,98.513,-204.092
161,32,F,5.006,1.565,0.434,3.607,1.246,55.623,0.565,56.753,98.516,-203.234
162,32,F,3.784,1.57,0.355,4.424,1.876,59.89,0.815,61.52,73.503,-200.285
163,32,F,2.642,2.271,0.122,18.68,1.477,57.501,0.444,58.389,129.462,-207.358
164,32,F,5.149,1.549,0.421,3.682,2.35,40.543,0.5,41.543,81.059,-196.35
165,32,F,6.397,2.575,0.246,10.45,1.14,65.289,0.558,66.405,117.014,-207.707
166,32,F,4.55,2.103,0.197,10.686,1.595,29.872,0.282,30.435,106.014,-195.851
167,32,F,3.385,1.986,0.349,5.693,1.772,67.875,0.869,69.612,78.119,-202.79
168,32,F,3.081,1.388,0.656,2.118,0.965,43.617,0.323,44.263,134.892,-204.191
169,32,F,3.094,1.789,0.242,7.406,1.133,33.884,0.495,34.873,68.499,-191.668
170,32,F,5.01,2.386,0.366,6.525,1.285,48.991,0.78,50.55,62.844,-195.472
171,32,F,3.257,2.132,0.326,6.541,1.9,45.294,0.681,46.656,66.497,-195.176
172,32,F,3.091,1.865,0.205,9.091,1.382,35.796,0.615,37.025,58.21,-190.216
173,32,F,2.147,2.079,0.36,5.775,1.19,51.148,0.553,52.254,92.54,-201.262
174,32,F,4.265,1.47,0.116,12.649,1.573,54.028,1.672,57.373,32.304,-187.83
175,32,F,3.218,1.384,0.071,19.547,1.394,40.877,0.592,42.062,69.011,-194.294
176,32,F,3.293,0.942,0.236,3.996,1.593,43.273,0.675,44.624,64.063,-194.06
177,32,F,2.104,1.316,0.26,5.058,1.073,63.604,0.713,65.031,89.172,-203.697
178,32,F,4.503,0.88,0.463,1.899,1.078,66.38,0.661,67.702,100.373,-205.865
179,32,F,3.107,0.792,0.167,4.746,1.366,48.678,0.681,50.039,71.503,-197.123
180,32,F,3.074,0.895,0.171,5.219,1.337,55.553,1.04,57.634,53.392,-194.97
181,32,F,5.234,0.904,0.274,3.294,1.81,22.179,0.458,23.096,48.408,-181.289
182,32,F,3.928,0.668,0.305,2.19,2.362,61.091,0.684,62.46,89.296,-203.173
183,32,F,4.831,0.92,0.118,7.786,1.334,38.593,0.546,39.685,70.703,-193.846
184,32,F,6.933,0.78,0.19,4.097,1.568,46.445,0.79,48.025,58.794,-193.857
185,32,F,5.322,0.948,0.107,8.849,1.677,41.295,0.332,41.96,124.199,-202.342
186,32,F,5.536,0.538,0.376,1.429,2.322,38.685,0.472,39.629,81.883,-195.855
187,32,F,4.663,0.776,0.285,2.722,1.499,103.986,0.79,105.566,131.606,-215.556
188,32,F,5.028,0.767,0.197,3.888,0.934,43.736,0.585,44.906,74.777,-196.285
189,32,F,4.386,0.894,0.185,4.821,1.785,53.721,0.578,54.876,93.017,-201.992
190,32,F,6.133,0.814,0.25,3.249,1.203,38.101,0.511,39.124,74.524,-194.382
191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,32,F,1.581,1.091,0.062,17.539,1.572,51.069,0.288,51.646,177.181,-209.986
193,32,F,2.442,0.813,0.241,3.372,1.065,48.404,0.58,49.565,83.435,-199.125
194,32,F,2.884,0.983,0.375,2.624,2.293,46.726,0.42,47.565,111.349,-202.535
195,32,F,3.163,1.867,0.249,7.489,1.299,34.508,0.525,35.559,65.682,-191.348
196,32,F,3.151,0.886,0.166,5.354,1.65,65.85,0.525,66.9,125.492,-208.764
197,32,F,3.362,0.661,0.074,8.925,1.348,43.049,0.546,44.14,78.871,-196.789
198,32,F,5.082,0.59,0.241,2.449,1.343,53.834,0.808,55.449,66.641,-197.531
199,32,F,3.61,0.457,0.138,3.309,1.487,50.428,0.606,51.641,83.156,-199.631
200,32,F,4.112,0.857,0.206,4.151,1.002,54.852,0.745,56.342,73.668,-199.133
201,32,F,7.572,0.982,0.213,4.62,0.998,35.503,0.268,36.04,132.278,-201.156
202,32,F,6.247,0.632,0.141,4.479,1.357,60.38,0.794,61.968,76.028,-200.85
203,32,F,4.983,0.982,0.089,10.998,1.367,36.232,0.348,36.928,104.078,-198.202
204,32,F,3.056,0.725,0.145,5.006,1.757,55.042,1.341,57.724,41.043,-191.304
205,32,F,3.215,0.446,0.082,5.424,1.225,36.084,0.575,37.233,62.786,-191.343
206,32,F,4.171,0.642,0.019,33.067,1.001,53.802,0.541,54.884,99.446,-202.912
207,32,F,5.633,0.401,0.131,3.053,1.737,31.572,0.523,32.618,60.35,-189.011
