Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic Total Glutathione (nmol/mg),Hepatic GSH (nmol/mg),Hepatic GSSG (nmol/mg),Hepatic GSH/GSSG,Hepatic Eh (mV),Hepatic NADPH (pmol/ug),Hepatic NADP (pmol/ug),Hepatic NADP/NADPH,Hepatic NADH (pmol/ug),BUN (mg/dL)
85,30,F,24.067,23.403,0.332,70.503,-187.074,43.046,41.923,0.562,74.651,-195.692,0.21,0.767,3.653,1.626,22
86,30,F,37.016,36.498,0.259,140.918,-202.38,60.514,58.666,0.924,63.481,-198.034,0.168,0.707,4.198,3.012,19
87,30,F,26.168,25.359,0.405,62.686,-186.573,60.354,58.6,0.877,66.814,-198.708,0.105,0.879,8.351,1.817,16
88,30,F,21.079,20.485,0.297,68.872,-184.965,31.021,30.238,0.392,77.236,-191.751,0.142,0.459,3.223,2.26,19
89,30,F,29.111,27.867,0.622,44.811,-183.323,51.074,48.668,1.203,40.466,-189.456,0.146,1.51,10.334,0.901,22
90,30,F,17.961,17.653,0.154,114.633,-189.822,53.739,53.045,0.347,152.98,-208.52,0.565,1.162,2.057,2.834,20
91,30,F,11.278,10.958,0.16,68.42,-176.454,40.439,38.296,1.072,35.74,-184.557,0.345,1.313,3.808,2.13,18
92,30,F,19.006,18.185,0.41,44.303,-177.422,39.458,37.858,0.8,47.314,-188.18,0.258,1.067,4.141,1.611,19
93,30,F,14.233,13.688,0.273,50.224,-175.287,62.92,60.273,1.323,45.549,-193.929,0.323,0.642,1.984,1.939,23
94,30,F,10.913,10.602,0.155,68.195,-175.965,59.917,58.15,0.884,65.792,-198.396,0.192,0.726,3.784,1.828,16
95,30,F,17.008,16.12,0.444,36.288,-173.112,77.595,75.541,1.027,73.539,-203.418,0.302,0.901,2.982,2.623,14
96,30,F,13.867,10.735,1.566,6.855,-145.203,46.075,44.915,0.58,77.44,-197.114,0.098,0.659,6.69,2,19
97,30,F,24.498,21.481,1.508,14.242,-164.387,59.371,55.868,1.752,31.894,-188.109,0.159,0.671,4.218,2.497,21
98,30,F,14.833,14.07,0.382,36.879,-171.499,46.609,44.531,1.039,42.863,-189.035,0.106,0.742,7.034,1.859,22
99,32,M,19.793,19.386,0.204,95.156,-188.575,41.56,40.565,0.498,81.486,-196.428,0.18,0.422,2.343,3.52,21
100,32,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,32,M,22.433,22.018,0.207,106.154,-191.762,63.188,61.663,0.763,80.865,-201.963,0.178,0.412,2.316,4.412,NA
102,32,M,11.692,10.876,0.408,26.656,-163.662,36.199,35.474,0.363,97.813,-197.081,0.175,0.588,3.349,4.536,31
103,32,M,24.54,24.06,0.24,100.177,-192.176,33.222,32.535,0.344,94.704,-195.482,0.189,0.51,2.692,3.898,34
104,32,M,18.461,18.006,0.227,79.156,-185.103,55.006,54.108,0.449,120.507,-205.574,0.226,0.353,1.564,2.915,26
105,32,M,22.64,22.181,0.229,96.667,-190.601,48.832,48.125,0.354,136.008,-205.626,0.1,0.33,3.3,4.275,19
106,32,M,19.889,19.095,0.397,48.082,-179.182,56.03,54.707,0.661,82.719,-200.657,0.228,0.367,1.613,4,25
107,32,M,18.653,18.422,0.115,159.978,-194.884,44.501,43.249,0.626,69.123,-195.076,0.128,0.29,2.257,3.739,36
108,32,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,32,M,13.61,13.313,0.149,89.586,-182.704,83.31,82.234,0.538,152.937,-214.418,0.198,0.255,1.287,4.141,23
110,32,M,20.314,19.962,0.176,113.268,-191.316,39.255,38.11,0.573,66.564,-192.865,0.17,0.548,3.232,2.607,20
111,32,M,16.033,15.697,0.168,93.519,-185.5,72.44,70.993,0.723,98.148,-206.468,0.245,0.219,0.895,3.012,26
112,32,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,32,M,14.524,14.022,0.251,55.864,-177.044,62.171,61.031,0.57,107.04,-205.6,0.149,0.313,2.099,2.902,25
114,32,M,20.648,20.103,0.272,73.788,-185.64,59.213,56.986,1.114,51.173,-194.741,0.218,0.277,1.266,3.21,22
115,32,M,15.024,14.665,0.179,81.768,-182.777,35.597,34.88,0.358,97.347,-196.79,0.15,0.422,2.819,3.084,23
116,32,M,23.031,22.483,0.274,82.096,-188.583,46.255,43.797,1.229,35.629,-186.322,0.07,0.356,5.087,3.01,23
117,32,M,11.607,11.432,0.088,130.651,-185.734,42.838,41.446,0.696,59.58,-192.502,0.087,0.343,3.942,2.785,24
118,32,M,17.322,16.807,0.257,65.277,-181.58,55.922,54.411,0.756,71.988,-198.713,0.35,0.733,2.095,3.362,25
119,32,M,21.056,20.387,0.335,60.884,-183.241,91.58,88.263,1.658,53.226,-201.161,0.242,0.52,2.149,2.881,NA
120,32,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,32,M,7.888,7.311,0.289,25.337,-157.632,39.721,39.004,0.359,108.685,-199.777,0.344,0.78,2.269,4.979,21
122,32,M,14.926,14.462,0.232,62.232,-178.913,60.826,58.994,0.916,64.401,-198.303,0.139,0.885,6.352,2.553,26
123,32,M,13.033,12.321,0.356,34.629,-168.865,66.967,65.42,0.774,84.537,-203.357,0.215,0.629,2.932,3.338,33
124,32,M,16.058,15.583,0.237,65.705,-180.65,64.036,62.07,0.983,63.157,-198.724,0.277,1.028,3.711,2.519,21
125,32,M,14.71,14.291,0.21,68.172,-179.98,57.382,56.214,0.584,96.244,-203.062,0.457,0.85,1.858,3.789,24
126,32,M,8.06,7.316,0.372,19.668,-154.232,91.521,88.607,1.457,60.803,-203.005,0.161,0.933,5.8,3.302,30
127,32,M,11.614,11.057,0.278,39.732,-169.258,38.444,37.275,0.584,63.784,-191.992,0.287,0.727,2.528,3.684,27
