Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV)
215,32,F,14.846,14.15,0.348,40.651,-172.886
216,32,F,8.917,8.174,0.372,22.001,-157.232
217,32,F,16.771,16.343,0.214,76.371,-183.316
218,32,F,23.903,22.969,0.467,49.184,-181.974
219,32,F,25.756,24.987,0.384,65.032,-186.868
220,32,F,21.171,20.556,0.307,66.873,-184.616
221,35,M,25.209,24.639,0.285,86.513,-190.522
222,35,M,15.791,15.234,0.279,54.692,-177.875
223,35,M,19.616,18.939,0.338,55.997,-181.123
224,35,M,8.155,7.836,0.159,49.154,-167.487
225,35,M,23.397,22.809,0.294,77.545,-188.009
226,35,M,15.488,14.538,0.475,30.584,-169.42
227,35,M,10.309,9.841,0.234,41.983,-168.431
228,35,M,9.692,9.459,0.117,81.134,-176.768
229,35,M,22.053,21.644,0.204,106.05,-191.518
230,35,M,19.408,18.153,0.628,28.927,-171.66
231,35,M,22.877,22.293,0.292,76.42,-187.505
232,35,M,13.883,13.133,0.375,35.005,-169.869
233,35,M,12.901,12.473,0.214,58.264,-176.034
234,35,M,NA,NA,NA,NA,NA
235,35,M,14.47,13.932,0.269,51.841,-175.951
236,35,M,NA,NA,NA,NA,NA
237,35,M,9.522,9.162,0.18,50.866,-170.053
238,35,M,32.095,31.181,0.457,68.239,-190.498
239,35,M,22.281,21.815,0.233,93.681,-189.955
240,35,M,9.614,9.206,0.204,45.192,-168.525
241,35,M,15.382,14.228,0.577,24.668,-166.236
242,35,M,17.292,16.818,0.237,70.883,-182.698
243,35,M,11.433,11.219,0.107,104.487,-182.471
244,35,M,12.691,12.041,0.325,37.034,-169.459
245,35,M,11.85,11.264,0.293,38.481,-169.077
246,35,M,21.332,20.634,0.349,59.129,-183.01
247,35,M,15.34,14.919,0.21,70.936,-181.095
248,35,M,11.148,10.786,0.181,59.696,-174.405
249,35,M,19.861,19.243,0.309,62.301,-182.774
250,35,M,7.839,7.297,0.271,26.954,-158.439
251,35,M,7.642,7.384,0.129,57.156,-168.717
252,35,M,12.726,12.049,0.338,35.621,-168.945
253,35,M,17.577,16.832,0.372,45.209,-176.654
254,35,M,23.709,22.891,0.409,56.022,-183.681
255,35,M,9.763,9.579,0.092,104.096,-180.294
256,35,M,7.875,7.26,0.308,23.601,-156.581
257,35,M,12.879,12.05,0.415,29.07,-166.209
258,35,M,11.145,10.789,0.178,60.718,-174.638
259,35,M,13.153,12.438,0.357,34.819,-169.066
260,35,M,15.684,15.253,0.215,70.815,-181.37
261,35,M,13.138,12.405,0.366,33.862,-168.655
262,35,M,14.647,13.76,0.443,31.036,-168.877
263,35,M,18.807,18.291,0.258,70.921,-183.835
264,35,M,11.097,10.745,0.176,61.047,-174.655
265,35,M,18.552,18.126,0.213,85.025,-186.155
266,35,M,8.757,8.011,0.373,21.481,-156.639
267,35,M,13.033,11.972,0.531,22.556,-162.706
268,35,M,12.485,12.246,0.119,102.708,-183.42
269,35,M,16.655,16.162,0.247,65.552,-181.11
270,35,M,11.175,10.59,0.292,36.208,-167.427
271,35,M,21.801,21.234,0.284,74.815,-186.563
272,35,M,11.607,10.853,0.377,28.773,-164.662
273,35,M,10.969,10.329,0.32,32.282,-165.546
274,35,M,28.621,27.355,0.633,43.229,-182.589
275,35,M,12.223,11.845,0.189,62.671,-176.321
276,35,M,24.198,23.697,0.25,94.784,-191.227
277,35,M,12.993,11.952,0.52,22.974,-162.931
278,35,M,8.076,7.677,0.2,38.477,-163.914
279,35,M,29.359,27.077,1.141,23.734,-174.379
280,35,M,NA,NA,NA,NA,NA
281,35,M,18.751,18.239,0.256,71.305,-183.87
282,35,M,18.909,18.393,0.258,71.234,-183.969
283,35,M,26.939,25.449,0.745,34.149,-178.442
284,35,M,6.729,6.234,0.248,25.188,-155.407
285,35,M,8.527,8.241,0.143,57.655,-170.313
286,35,M,14.153,13.603,0.275,49.381,-174.975
287,35,M,NA,NA,NA,NA,NA
288,35,M,14.612,14.017,0.298,47.108,-174.745
289,35,M,24.387,24.11,0.139,173.867,-199.627
290,35,M,NA,NA,NA,NA,NA
291,35,M,7.571,7.123,0.224,31.758,-160.322
292,35,M,10.005,9.574,0.215,44.471,-168.837
293,35,M,11.585,11.001,0.292,37.673,-168.474
294,35,M,9.136,8.716,0.21,41.544,-166.656
295,35,M,18.539,18.191,0.174,104.524,-188.983
296,35,F,10.941,9.159,0.891,10.28,-148.522
297,35,F,11.474,11.032,0.221,50.007,-172.324
298,35,F,10.412,9.826,0.293,33.505,-165.373
299,35,F,32.619,31.609,0.505,62.579,-189.515
300,35,F,33.053,32.061,0.496,64.609,-190.136
301,35,F,11.011,9.767,0.622,15.692,-155.08
302,35,F,7.894,7.24,0.327,22.134,-155.681
303,35,F,21.61,20.619,0.495,41.616,-178.272
304,35,F,12.901,12.05,0.425,28.336,-165.866
305,35,F,20.493,20.095,0.199,100.84,-189.84
306,35,F,21.709,21.178,0.265,79.784,-187.394
307,35,F,NA,NA,NA,NA,NA
308,35,F,7.744,7.363,0.19,38.677,-163.421
309,35,F,14.735,14.089,0.323,43.615,-173.776
310,35,F,13.053,12.621,0.216,58.424,-176.23
311,35,F,12.45,11.954,0.248,48.169,-172.901
312,35,F,15.116,14.686,0.215,68.261,-180.365
313,35,F,12.399,10.974,0.713,15.402,-156.398
314,35,F,23.933,21.074,1.429,14.743,-164.594
315,35,F,15.541,14.813,0.364,40.7,-173.52
316,35,F,17.374,16.732,0.321,52.047,-178.47
317,35,F,24.648,23.952,0.348,68.849,-187.066
318,35,F,10.416,9.503,0.456,20.817,-158.517
319,35,F,9.052,8.516,0.268,31.769,-162.732
320,35,F,12.917,12.362,0.277,44.564,-172.305
321,35,F,16.845,16.129,0.358,45.091,-176.045
322,35,F,16.724,15.643,0.54,28.952,-169.668
323,35,F,21.118,20.753,0.182,113.804,-191.903
324,35,F,8.671,8.301,0.185,44.879,-167.038
325,35,F,11.21,10.657,0.277,38.531,-168.349
326,35,F,18.223,17.722,0.25,70.834,-183.393
327,35,F,NA,NA,NA,NA,NA
328,35,F,17.958,17.42,0.269,64.697,-181.941
329,35,F,8.533,7.967,0.283,28.193,-160.227
330,35,F,8.539,8.061,0.239,33.709,-162.789
331,35,F,8.402,7.469,0.466,16.019,-151.747
332,35,F,13.683,13.19,0.247,53.474,-175.632
333,35,F,38.616,35.949,1.333,26.959,-179.91
334,35,F,10.989,9.831,0.579,16.994,-156.242
335,35,F,6.974,6.71,0.132,50.81,-165.844
336,35,F,19.011,18.081,0.465,38.861,-175.58
337,35,F,13.89,13.254,0.318,41.678,-172.342
338,35,F,24.072,23.462,0.305,76.897,-188.277
339,35,F,24.566,23.356,0.605,38.599,-178.936
340,35,F,10.143,9.727,0.208,46.814,-169.741
341,35,F,11.092,10.739,0.176,60.848,-174.603
342,35,F,8.438,7.986,0.226,35.354,-163.305
343,35,F,10.655,9.913,0.371,26.744,-162.459
344,35,F,13.529,13.082,0.223,58.574,-176.748
345,35,F,8.772,8.149,0.312,26.157,-159.521
