Mouse,Generation,Sex,InitialWeight,FinalWeight,AST,ALT,ASTALTRatio,BUN,Glucose,NADH,NADP,NADPH,NADPNADPHRatio,LiverWeight,LiverGSH,LiverGSSG,LiverTotalGSH,LiverGSHGSSGRatio,Liver2GSHGSSGRatio,LiverEhGSSG2GSH,Steatosis,Ballooning,Fibrosis,KidneyGSH,KidneyGSSG,KidneyTotalGSH,KidneyGSHGSSGRatio,Kidney2GSHGSSGRatio,KidneyEhGSSG2GSH
266,35,M,34.1,42.2,48,21,2.286,24,119,1.869,1.044,0.231,4.511,1.972,44.1,1.152,46.404,38.288,76.577,-187.385,0,5,0,8.011,0.373,8.757,21.481,42.961,-156.639
267,35,M,32,47.5,41,19,2.158,23,128,2.874,0.712,0.379,1.878,2.278,22.193,0.317,22.826,70.117,140.235,-186.285,0,2,0,11.972,0.531,13.033,22.556,45.112,-162.706
268,35,M,31.1,42,52,60,0.867,14,85,1.429,0.797,0.242,3.292,2.325,22.644,0.248,23.139,91.449,182.897,-190.132,0,1,0,12.246,0.119,12.485,102.708,205.417,-183.420
269,35,M,27.2,41.4,45,29,1.552,20,123,1.507,0.68,0.35,1.944,1.56,47.366,0.502,48.371,94.272,188.544,-200.477,0,4,0,16.162,0.247,16.655,65.552,131.104,-181.110
270,35,M,27.7,36.1,53,27,1.963,22,132,2.233,0.752,0.412,1.828,1.503,24.326,0.265,24.855,91.899,183.797,-191.163,0,2,0,10.590,0.292,11.175,36.208,72.416,-167.427
271,35,M,21.8,29.3,36,19,1.895,22,99,2.344,0.843,0.24,3.508,1.309,16.901,0.219,17.339,77.276,154.552,-183.927,0,3,0,21.234,0.284,21.801,74.815,149.630,-186.563
272,35,M,28.6,38.4,34,20,1.7,23,78,3.243,0.822,0.295,2.79,1.605,27.457,0.321,28.099,85.449,170.899,-191.813,0,0,0,10.853,0.377,11.607,28.773,57.545,-164.662
273,35,M,38.9,55.2,50,33,1.515,21,301,2.835,1.192,0.286,4.166,2.745,35.021,0.577,36.174,60.722,121.444,-190.49,1,4,0,10.329,0.320,10.969,32.282,64.564,-165.546
274,35,M,29.2,41.4,40,36,1.111,25,372,1.517,0.749,0.144,5.188,2.262,46.844,0.473,47.789,99.106,198.213,-201.001,3,4,0,27.355,0.633,28.621,43.229,86.458,-182.589
275,35,M,32.5,49.5,37,20,1.85,28,130,2.045,1.135,0.454,2.497,1.665,30.586,0.248,31.081,123.569,247.139,-198.232,0,4,0,11.845,0.189,12.223,62.671,125.342,-176.321
276,35,M,28,44.2,53,34,1.559,23,86,1.967,0.81,0.236,3.435,1.813,30.411,0.467,31.345,65.165,130.33,-189.54,0,2,0,23.697,0.250,24.198,94.784,189.568,-191.227
277,35,M,26.5,44.7,37,22,1.682,23,128,2.919,0.537,0.367,1.463,1.518,45.681,0.807,47.295,56.606,113.211,-193.122,0,4,0,11.952,0.520,12.993,22.974,45.948,-162.931
278,35,M,32.5,56.5,39,26,1.5,24,205,1.83,0.491,0.573,0.857,2.395,48.52,0.652,49.825,74.381,148.762,-197.611,0,5,0,7.677,0.200,8.076,38.477,76.954,-163.914
279,35,M,27.7,42.3,47,24,1.958,20,100,2.006,0.89,0.302,2.945,2.103,29.96,0.348,30.657,86.033,172.065,-193.079,0,3,0,27.077,1.141,29.359,23.734,47.467,-174.379
280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,35,M,28.3,35.1,52,29,1.793,23,95,1.028,0.864,0.229,3.766,1.747,26.696,0.314,27.325,84.942,169.884,-191.355,0,3,0,18.239,0.256,18.751,71.305,142.609,-183.870
282,35,M,32,40.9,52,17,3.059,17,76,2.856,0.534,0.253,2.112,1.869,24.812,0.416,25.643,59.712,119.425,-185.624,0,3,0,18.393,0.258,18.909,71.234,142.469,-183.969
283,35,M,29.5,42.8,48,35,1.371,25,96,3.926,0.693,0.52,1.332,2.267,34.988,0.767,36.522,45.624,91.248,-186.628,0,4,0,25.449,0.745,26.939,34.149,68.298,-178.442
284,35,M,28.1,36.2,38,31,1.226,28,97,3.249,0.715,0.224,3.19,1.727,27.972,0.494,28.96,56.648,113.296,-186.529,0,4,0,6.234,0.248,6.729,25.188,50.376,-155.407
285,35,M,36.3,46.2,41,23,1.783,17,111,2.123,0.543,0.237,2.29,2.517,59.3,0.833,60.965,71.203,142.407,-199.724,0,3,0,8.241,0.143,8.527,57.655,115.309,-170.313
286,35,M,31.5,39.6,33,20,1.65,21,97,3.118,0.727,0.223,3.263,1.704,25.433,0.451,26.335,56.39,112.779,-185.187,0,2,0,13.603,0.275,14.153,49.381,98.762,-174.975
287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,35,M,37.7,46.2,50,29,1.724,29,106,1.472,0.574,0.206,2.788,2.355,23.424,0.44,24.305,53.211,106.422,-183.298,0,3,1,14.017,0.298,14.612,47.108,94.216,-174.745
289,35,M,28.3,50.3,48,28,1.714,17,169,5.23,0.502,0.481,1.043,3.113,37.092,0.375,37.842,98.964,197.928,-197.839,0,4,0,24.110,0.139,24.387,173.867,347.733,-199.627
290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,35,M,37,60,54,30,1.8,26,352,2.278,1.081,0.368,2.94,3.713,29.498,0.565,30.629,52.165,104.33,-186.134,2,4,0,7.123,0.224,7.571,31.758,63.515,-160.322
292,35,M,33.9,44.1,43,33,1.303,20,94,2.851,0.444,0.233,1.909,1.917,20.62,0.46,21.54,44.824,89.648,-179.272,0,3,0,9.574,0.215,10.005,44.471,88.943,-168.837
293,35,M,20.9,25.7,43,25,1.72,18,111,2.383,0.573,0.327,1.751,1.17,41.094,0.693,42.479,59.323,118.645,-192.329,0,3,0,11.001,0.292,11.585,37.673,75.345,-168.474
294,35,M,33.1,43.8,47,20,2.35,19,130,4.598,0.433,0.558,0.777,1.43,32.322,0.436,33.193,74.201,148.401,-192.109,0,3,0,8.716,0.210,9.136,41.544,83.087,-166.656
295,35,M,35.2,58.1,36,31,1.161,27,309,3.301,0.445,0.277,1.603,2.679,19.883,0.255,20.394,77.857,155.713,-186.215,0,4,0,18.191,0.174,18.539,104.524,209.049,-188.983
296,35,F,21.2,33.6,49,22,2.227,22,79,3.11,1.793,0.021,85.968,1.391,43.12,0.683,44.487,63.12,126.239,-193.812,2,2,0,9.159,0.891,10.941,10.280,20.561,-148.522
297,35,F,24.4,35.3,37,17,2.176,22,110,3.482,1.401,0.262,5.348,1.921,33.782,0.435,34.651,77.717,155.433,-193.327,1,4,0,11.032,0.221,11.474,50.007,100.013,-172.324
298,35,F,19.7,29.4,63,23,2.739,24,65,1.567,1.893,NA,NA,1.108,20.079,0.213,20.505,94.38,188.76,-188.938,0,1,0,9.826,0.293,10.412,33.505,67.009,-165.373
299,35,F,22.1,35.5,51,26,1.962,21,100,3.397,1.173,0.076,15.389,1.31,28.855,0.34,29.535,84.883,169.766,-192.392,1,3,0,31.609,0.505,32.619,62.579,125.158,-189.515
300,35,F,19.8,33.9,43,19,2.263,24,105,1.876,0.997,0.141,7.058,1.1,27.106,0.212,27.53,128.107,256.214,-197.092,1,3,1,32.061,0.496,33.053,64.609,129.218,-190.136
301,35,F,21.8,35,48,22,2.182,26,85,1.769,1.438,0.213,6.765,1.651,35.751,0.482,36.714,74.213,148.427,-193.469,0,5,0,9.767,0.622,11.011,15.692,31.385,-155.080
302,35,F,23.9,40.1,44,23,1.913,28,99,6.717,1.729,0.203,8.513,1.509,16.37,0.276,16.922,59.304,118.609,-179.933,0,3,0,7.240,0.327,7.894,22.134,44.268,-155.681
303,35,F,23.4,35.2,51,21,2.429,21,119,2.325,1.117,0.343,3.257,1.325,28.888,0.361,29.61,79.956,159.912,-191.602,0,3,0,20.619,0.495,21.610,41.616,83.232,-178.272
304,35,F,25.1,45.3,NA,23,NA,25,100,2.512,1.442,0.1,14.366,1.341,22.066,0.295,22.656,74.809,149.619,-187.08,0,4,0,12.050,0.425,12.901,28.336,56.673,-165.866
305,35,F,23.5,36.7,49,18,2.722,20,95,1.84,1.256,0.164,7.658,1.425,20.325,0.31,20.945,65.554,131.108,-184.195,1,3,0,20.095,0.199,20.493,100.840,201.680,-189.840
306,35,F,24,32.1,54,35,1.543,29,100,2.114,1.021,0.018,56.245,1.369,18.048,0.281,18.61,64.198,128.395,-182.314,0,3,0,21.178,0.265,21.709,79.784,159.568,-187.394
307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,35,F,25.4,30.9,50,27,1.852,20,93,2.105,2.424,NA,NA,1.589,40.335,0.477,41.289,84.581,169.163,-196.854,0,2,2,7.363,0.190,7.744,38.677,77.353,-163.421
309,35,F,19.7,30.1,61,27,2.259,24,97,1.963,1.677,NA,NA,1.155,19.84,0.287,20.413,69.23,138.461,-184.605,0,3,0,14.089,0.323,14.735,43.615,87.229,-173.776
310,35,F,20.6,23.2,46,19,2.421,21,91,2.791,2.066,NA,NA,0.901,25.485,0.326,26.137,78.23,156.459,-189.621,0,1,0,12.621,0.216,13.053,58.424,116.849,-176.230
311,35,F,22,29.7,55,27,2.037,22,106,3.663,1.976,0.045,43.548,1.3,21.751,0.335,22.422,64.872,129.743,-184.968,0,3,0,11.954,0.248,12.450,48.169,96.338,-172.901
312,35,F,21.9,35.2,40,20,2,23,82,2.753,1.728,NA,NA,1.306,15.925,0.268,16.462,59.317,118.634,-179.565,1,3,1,14.686,0.215,15.116,68.261,136.523,-180.365
313,35,F,26.1,45,50,33,1.515,29,77,2.091,1.735,0.011,161.363,1.688,30.725,0.501,31.726,61.357,122.715,-188.868,1,3,0,10.974,0.713,12.399,15.402,30.803,-156.398
314,35,F,22.2,27.4,42,20,2.1,22,105,0.79,1.422,0.034,42.078,1.263,17.862,0.432,18.725,41.368,82.736,-176.258,0,3,0,21.074,1.429,23.933,14.743,29.486,-164.594
315,35,F,23.8,42.7,56,25,2.24,23,83,2.431,1.625,0.04,41.126,1.427,24.73,0.299,25.328,82.645,165.29,-189.955,0,4,0,14.813,0.364,15.541,40.700,81.399,-173.520
316,35,F,24.4,39.2,44,25,1.76,22,84,1.903,1.93,0.095,20.374,1.634,35.999,0.601,37.202,59.862,119.724,-190.669,0,4,0,16.732,0.321,17.374,52.047,104.094,-178.470
317,35,F,25.9,44.8,65,43,1.512,21,91,1.86,2.261,0.027,83.817,1.881,22.289,0.432,23.154,51.561,103.122,-182.205,0,2,0,23.952,0.348,24.648,68.849,137.697,-187.066
318,35,F,26.7,47.8,37,17,2.176,22,74,1.613,2.007,0.016,126.88,1.645,42.059,0.582,43.224,72.233,144.466,-195.292,0,5,0,9.503,0.456,10.416,20.817,41.635,-158.517
319,35,F,22.7,42.7,47,30,1.567,27,120,0.304,1.612,0.034,46.997,2.112,33.31,0.42,34.151,79.254,158.507,-193.401,0,4,0,8.516,0.268,9.052,31.769,63.538,-162.732
320,35,F,28.3,43.4,41,21,1.952,22,103,1.586,1.744,0.043,40.932,1.272,25.803,0.216,26.235,119.406,238.811,-195.481,0,3,0,12.362,0.277,12.917,44.564,89.128,-172.305
321,35,F,26.1,51.2,56,39,1.436,27,142,2.231,1.518,0.049,31.273,2.361,36.225,0.524,37.272,69.173,138.346,-192.699,0,4,0,16.129,0.358,16.845,45.091,90.183,-176.045
322,35,F,28.5,49.3,45,26,1.731,24,114,2.807,1.298,0.036,36.534,1.676,23.31,0.424,24.158,54.968,109.937,-183.669,1,3,0,15.643,0.540,16.724,28.952,57.904,-169.668
323,35,F,23.1,37.6,52,17,3.059,20,95,1.554,1.519,0.016,96.059,1.356,20.95,0.247,21.443,84.843,169.686,-188.075,0,2,0,20.753,0.182,21.118,113.804,227.609,-191.903
324,35,F,25,41.1,31,16,1.938,24,98,1.266,1.856,0.023,80.082,1.144,38.992,0.455,39.901,85.769,171.537,-196.585,0,2,0,8.301,0.185,8.671,44.879,89.759,-167.038
325,35,F,25.9,42.9,52,37,1.405,26,68,1.392,1.877,0.131,14.376,1.625,32.633,0.486,33.606,67.085,134.17,-190.881,1,4,0,10.657,0.277,11.210,38.531,77.062,-168.349
326,35,F,24.6,35.9,36,23,1.565,20,142,0.512,1.742,0.02,85.645,2.226,41.871,0.536,42.943,78.052,156.104,-196.275,0,3,0,17.722,0.250,18.223,70.834,141.667,-183.393
327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,35,F,19.4,33.9,45,22,2.045,24,85,0.754,1.4,NA,NA,1.264,13.934,0.211,14.356,65.981,131.961,-179.2,0,3,0,17.420,0.269,17.958,64.697,129.393,-181.941
329,35,F,23.5,34.9,36,20,1.8,17,115,0.774,1.921,NA,NA,1.123,21.872,0.28,22.431,78.226,156.452,-187.562,0,2,0,7.967,0.283,8.533,28.193,56.387,-160.227
330,35,F,29.5,43.3,46,32,1.438,20,96,2.678,1.791,0.148,12.126,2.001,27.208,0.37,27.948,73.505,147.011,-189.663,0,3,1,8.061,0.239,8.539,33.709,67.417,-162.789
331,35,F,18.7,28.5,82,23,3.565,17,99,1.95,1.128,0.093,12.189,1.381,34.974,0.332,35.638,105.349,210.698,-197.89,0,4,0,7.469,0.466,8.402,16.019,32.037,-151.747
332,35,F,24.4,43.8,42,22,1.909,22,90,2.851,1.266,0.156,8.123,1.688,32.639,0.283,33.206,115.3,230.601,-198.175,1,4,0,13.190,0.247,13.683,53.474,106.949,-175.632
333,35,F,23.6,30.1,44,22,2,16,107,1.716,1.213,0.151,8.045,1.42,16.008,0.262,16.531,61.173,122.345,-180.05,0,4,0,35.949,1.333,38.616,26.959,53.918,-179.910
334,35,F,25.2,30.4,49,21,2.333,19,82,1.255,1.408,NA,NA,1.62,24.424,0.428,25.28,57.068,114.136,-184.802,1,3,0,9.831,0.579,10.989,16.994,33.987,-156.242
335,35,F,24.4,46.9,39,23,1.696,20,110,1.71,1.208,0.116,10.43,1.418,22.57,0.31,23.19,72.848,145.696,-187.026,0,3,0,6.710,0.132,6.974,50.810,101.620,-165.844
336,35,F,24.2,34,46,19,2.421,20,84,1.444,0.602,0.16,3.759,1.449,29.852,0.392,30.637,76.072,152.145,-191.374,0,3,0,18.081,0.465,19.011,38.861,77.722,-175.580
337,35,F,24.6,30.8,119,30,3.967,25,89,1.544,1.341,0.106,12.626,1.258,30.424,0.212,30.849,143.239,286.479,-200.15,0,3,0,13.254,0.318,13.890,41.678,83.355,-172.342
338,35,F,23.1,38.3,58,56,1.036,27,94,1.028,1.189,0.092,12.995,1.777,38.306,0.493,39.292,77.758,155.516,-195.026,0,3,1,23.462,0.305,24.072,76.897,153.795,-188.277
339,35,F,24.4,41.7,50,20,2.5,26,84,1.648,1.24,NA,NA,1.51,11.532,0.14,11.813,82.21,164.419,-179.614,0,4,1,23.356,0.605,24.566,38.599,77.197,-178.936
340,35,F,19.3,24.4,67,28,2.393,24,83,1.92,1.36,0.105,12.939,1.183,49.8,0.64,51.081,77.768,155.536,-198.561,0,2,0,9.727,0.208,10.143,46.814,93.628,-169.741
341,35,F,24.5,36.3,50,21,2.381,33,82,1.704,0.926,0.214,4.317,1.915,21.391,0.269,21.928,79.622,159.244,-187.501,0,4,0,10.739,0.176,11.092,60.848,121.696,-174.603
342,35,F,19.5,38.2,50,24,2.083,27,97,1.616,1.039,0.126,8.256,1.405,40.587,0.492,41.571,82.517,165.035,-196.605,0,3,0,7.986,0.226,8.438,35.354,70.707,-163.305
343,35,F,36.6,54.3,42,24,1.75,18,84,2.465,1.666,0.106,15.775,2.671,34.281,0.479,35.239,71.624,143.247,-192.425,0,4,0,9.913,0.371,10.655,26.744,53.488,-162.459
344,35,F,24.1,39.2,66,33,2,21,125,1.887,1.379,0.104,13.232,1.547,24.942,0.369,25.681,67.552,135.104,-187.356,0,3,0,13.082,0.223,13.529,58.574,117.147,-176.748
345,35,F,23.3,34.4,45,19,2.368,21,108,1.686,1.049,0.094,11.18,1.556,30.013,0.525,31.062,57.187,114.373,-187.605,0,4,0,8.149,0.312,8.772,26.157,52.314,-159.521
346,35,F,27.2,46.2,39,24,1.625,25,85,1.169,1.142,0.09,12.705,2.355,22.108,0.379,22.866,58.32,116.639,-183.753,0,4,0,13.106,0.281,13.667,46.648,93.296,-173.707
347,35,F,21.3,34.7,50,22,2.273,20,105,1.077,1.033,0.061,16.87,1.42,27.955,0.51,28.976,54.781,109.562,-186.07,1,3,1,13.356,0.274,13.903,48.795,97.591,-174.568
348,35,F,32,38.6,43,22,1.955,20,88,2.367,1.076,0.235,4.584,1.804,20.041,0.286,20.613,70.073,140.146,-184.903,0,3,0,17.655,0.913,19.481,19.336,38.671,-165.862
349,35,F,24.2,46.2,44,20,2.2,24,92,3.063,1.288,0.012,110.527,1.542,18.252,0.283,18.818,64.511,129.023,-182.531,0,4,0,18.104,0.522,19.148,34.701,69.403,-174.074
350,35,F,24.7,44,39,20,1.95,22,85,4.322,1.215,0.088,13.879,1.44,34.736,0.715,36.167,48.552,97.104,-187.369,0,4,0,12.515,0.745,14.006,16.790,33.580,-159.329
351,35,F,23.7,33.4,40,22,1.818,18,100,2.506,1.471,NA,NA,1.351,29.084,0.392,29.868,74.137,148.274,-190.676,0,3,1,9.727,0.129,9.985,75.322,150.644,-176.144
352,35,F,24.6,40.8,56,28,2,21,84,2.123,1.24,0.111,11.175,1.765,31.956,0.471,32.898,67.879,135.758,-190.757,3,4,0,14.260,0.322,14.905,44.271,88.543,-174.140
353,35,F,20.8,26.2,58,29,2,22,79,3.141,1.441,0.014,106.043,1.132,17.101,0.185,17.471,92.35,184.7,-186.484,0,1,0,11.316,0.313,11.942,36.174,72.348,-168.307
354,35,F,28,47,28,14,2,22,118,3.338,1.386,0.094,14.691,1.455,28.043,0.66,29.363,42.476,84.953,-182.687,0,4,1,14.242,0.382,15.006,37.290,74.580,-171.812
355,35,F,23,37.1,56,25,2.24,21,80,2.396,1.314,0.022,58.83,1.572,20.388,0.333,21.054,61.228,122.455,-183.318,0,3,0,15.718,0.427,16.573,36.782,73.563,-172.955
356,35,F,24.5,30,47,21,2.238,21,95,2.239,1.326,NA,NA,1.35,30.39,0.416,31.221,73.139,146.277,-191.085,0,3,0,9.549,0.314,10.177,30.372,60.743,-163.667
357,35,F,26.9,52.8,43,26,1.654,24,107,3.422,1.451,0.023,63.767,1.884,42.018,0.601,43.221,69.882,139.765,-194.834,1,4,0,8.021,0.211,8.443,38.010,76.020,-164.340
358,35,F,18.7,24.2,70,42,1.667,19,75,1.565,1.526,0.026,58.677,1.147,24.258,0.323,24.904,75.057,150.114,-188.4,0,3,0,18.921,0.755,20.432,25.046,50.093,-170.278
359,35,F,22.2,39.1,49,25,1.96,25,101,2.298,1.603,0.044,36.595,1.753,30.199,0.207,30.612,146.051,292.101,-200.311,0,4,0,8.214,0.223,8.659,36.872,73.744,-164.250
360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,35,F,19,27.1,70,31,2.258,26,102,3.338,1.451,0.029,50.363,1.124,24.94,0.492,25.924,50.694,101.389,-183.489,0,4,0,9.602,0.232,10.067,41.318,82.635,-167.885
362,35,F,25.5,49.5,45,33,1.364,20,117,2.94,1.175,0.244,4.824,1.911,29.422,0.517,30.456,56.902,113.803,-187.27,1,4,0,6.047,0.283,6.613,21.370,42.739,-152.784
363,35,F,24.7,34.2,57,19,3,18,112,3.116,1.065,0.023,45.669,1.343,27.407,0.307,28.022,89.159,178.318,-192.361,0,4,0,13.952,0.469,14.890,29.751,59.501,-168.494
364,35,F,20.2,33,48,20,2.4,25,92,3.157,1.057,0.175,6.03,1.136,18.704,0.285,19.273,65.65,131.299,-183.096,0,4,0,5.848,0.208,6.264,28.173,56.346,-156.055
365,35,F,21.7,41.8,54,23,2.348,19,137,1.996,1.06,0.121,8.784,1.646,25.518,0.484,26.485,52.752,105.504,-184.333,0,4,0,7.547,0.436,8.419,17.316,34.632,-152.935
