Mouse,Generation,Sex,InitialWeight,FinalWeight,AST,ALT,ASTALTRatio,BUN,Glucose,NADH,NADP,NADPH,NADPNADPHRatio,LiverWeight,LiverGSH,LiverGSSG,LiverTotalGSH,LiverGSHGSSGRatio,Liver2GSHGSSGRatio,LiverEhGSSG2GSH,Steatosis,Ballooning,Fibrosis,KidneyGSH,KidneyGSSG,KidneyTotalGSH,KidneyGSHGSSGRatio,Kidney2GSHGSSGRatio,KidneyEhGSSG2GSH
78,30,F,NA,27.1,103,21,4.905,20,96,3.703,0.962,0.25,3.852,1.196,57.887,1.092,60.072,52.989,105.977,-195.422,0,4,0,25.779,1.391,28.561,18.533,37.067,-170.388
79,30,F,NA,33.5,104,26,4,25,79,2.946,0.818,0.26,3.143,1.422,70.137,1.925,73.986,36.444,72.888,-192.967,0,4,0,21.592,0.475,22.542,45.453,90.907,-180.080
80,30,F,NA,48.4,45,16,2.813,21,98,3.485,0.988,0.204,4.842,1.805,42.097,0.907,43.91,46.432,92.864,-189.355,0,4,0,20.806,0.520,21.846,40.025,80.050,-177.868
81,30,F,NA,52.8,39,25,1.56,25,83,1.677,0.971,0.269,3.603,2.915,59.944,1.061,62.065,56.516,113.032,-196.759,2,4,0,19.481,0.413,20.307,47.161,94.322,-179.191
82,30,F,NA,57.3,43,23,1.87,18,141,2.892,0.445,0.429,1.036,2.698,54.085,0.711,55.507,76.07,152.14,-199.375,2,4,0,27.360,0.502,28.363,54.548,109.096,-185.723
83,30,F,NA,24.9,64,31,2.065,21,80,2.212,0.43,0.093,4.633,1.104,29.302,0.639,30.58,45.826,91.653,-184.3,0,1,0,28.458,0.339,29.135,84.035,168.071,-192.070
84,30,F,NA,21.6,169,27,6.259,19,53,2.089,0.859,0.13,6.632,0.961,17.017,0.434,17.886,39.173,78.347,-174.872,NA,NA,0,20.478,0.566,21.610,36.186,72.373,-176.297
85,30,F,NA,31.9,140,23,6.087,22,96,1.626,0.767,0.21,3.653,1.136,41.923,0.562,43.046,74.651,149.302,-195.692,0,2,0,23.403,0.332,24.067,70.503,141.006,-187.074
86,30,F,NA,21.1,51,19,2.684,19,110,3.012,0.707,0.168,4.198,0.7,58.666,0.924,60.514,63.481,126.962,-198.034,0,0,0,36.498,0.259,37.016,140.918,281.836,-202.380
87,30,F,NA,37.2,37,15,2.467,16,94,1.817,0.879,0.105,8.351,1.51,58.6,0.877,60.354,66.814,133.628,-198.708,0,4,0,25.359,0.405,26.168,62.686,125.372,-186.573
88,30,F,NA,28,52,22,2.364,19,97,2.26,0.459,0.142,3.223,1.024,30.238,0.392,31.021,77.236,154.471,-191.751,0,3,0,20.485,0.297,21.079,68.872,137.743,-184.965
89,30,F,NA,46.9,61,31,1.968,22,110,0.901,1.51,0.146,10.334,1.918,48.668,1.203,51.074,40.466,80.932,-189.456,0,3,0,27.867,0.622,29.111,44.811,89.621,-183.323
90,30,F,NA,39,84,24,3.5,20,107,2.834,1.162,0.565,2.057,1.999,53.045,0.347,53.739,152.98,305.961,-208.52,0,4,0,17.653,0.154,17.961,114.633,229.267,-189.822
91,30,F,NA,48.1,62,27,2.296,18,100,2.13,1.313,0.345,3.808,1.962,38.296,1.072,40.439,35.74,71.479,-184.557,0,4,0,10.958,0.160,11.278,68.420,136.841,-176.454
92,30,F,NA,27.8,186,NA,NA,19,82,1.611,1.067,0.258,4.141,1.157,37.858,0.8,39.458,47.314,94.629,-188.18,0,2,0,18.185,0.410,19.006,44.303,88.606,-177.422
93,30,F,NA,52.2,59,27,2.185,23,147,1.939,0.642,0.323,1.984,2.141,60.273,1.323,62.92,45.549,91.097,-193.929,1,4,0,13.688,0.273,14.233,50.224,100.447,-175.287
94,30,F,NA,35.2,101,20,5.05,16,65,1.828,0.726,0.192,3.784,1.453,58.15,0.884,59.917,65.792,131.584,-198.396,0,4,0,10.602,0.155,10.913,68.195,136.390,-175.965
95,30,F,NA,27.3,117,18,6.5,14,152,2.623,0.901,0.302,2.982,1.098,75.541,1.027,77.595,73.539,147.079,-203.418,0,3,0,16.120,0.444,17.008,36.288,72.575,-173.112
96,30,F,NA,35.4,48,28,1.714,19,89,2,0.659,0.098,6.69,1.998,44.915,0.58,46.075,77.44,154.88,-197.114,0,5,0,10.735,1.566,13.867,6.855,13.710,-145.203
97,30,F,NA,29.6,50,20,2.5,21,81,2.497,0.671,0.159,4.218,1.357,55.868,1.752,59.371,31.894,63.789,-188.109,0,3,0,21.481,1.508,24.498,14.242,28.485,-164.387
98,30,F,NA,36.8,58,28,2.071,22,73,1.859,0.742,0.106,7.034,1.776,44.531,1.039,46.609,42.863,85.726,-189.035,0,3,0,14.070,0.382,14.833,36.879,73.757,-171.499
99,32,M,27.9,37.8,64,29,2.207,21,98,3.52,0.422,0.18,2.343,1.651,40.565,0.498,41.56,81.486,162.971,-196.428,0,4,0,19.386,0.204,19.793,95.156,190.311,-188.575
100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,32,M,31,48.2,NA,NA,NA,NA,120,4.412,0.412,0.178,2.316,2.083,61.663,0.763,63.188,80.865,161.729,-201.963,0,4,0,22.018,0.207,22.433,106.154,212.308,-191.762
102,32,M,26,35.8,73,25,2.92,31,95,4.536,0.588,0.175,3.349,1.64,35.474,0.363,36.199,97.813,195.626,-197.081,0,4,0,10.876,0.408,11.692,26.656,53.312,-163.662
103,32,M,33.3,35,46,22,2.091,34,147,3.898,0.51,0.189,2.692,1.849,32.535,0.344,33.222,94.704,189.408,-195.482,0,3,0,24.060,0.240,24.540,100.177,200.355,-192.176
104,32,M,34.1,43.2,42,23,1.826,26,87,2.915,0.353,0.226,1.564,1.903,54.108,0.449,55.006,120.507,241.013,-205.574,0,5,0,18.006,0.227,18.461,79.156,158.313,-185.103
105,32,M,32.1,34.5,83,21,3.952,19,96,4.275,0.33,0.1,3.3,1.739,48.125,0.354,48.832,136.008,272.017,-205.626,0,5,0,22.181,0.229,22.640,96.667,193.335,-190.601
106,32,M,26,38.5,76,21,3.619,25,137,4,0.367,0.228,1.613,1.897,54.707,0.661,56.03,82.719,165.439,-200.657,0,4,0,19.095,0.397,19.889,48.082,96.165,-179.182
107,32,M,30.9,51.7,80,40,2,36,96,3.739,0.29,0.128,2.257,2.466,43.249,0.626,44.501,69.123,138.246,-195.076,1,3,0,18.422,0.115,18.653,159.978,319.957,-194.884
108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,32,M,30.5,42.3,212,42,5.048,23,93,4.141,0.255,0.198,1.287,1.903,82.234,0.538,83.31,152.937,305.873,-214.418,0,4,0,13.313,0.149,13.610,89.586,179.173,-182.704
110,32,M,30.3,39.6,77,36,2.139,20,94,2.607,0.548,0.17,3.232,1.765,38.11,0.573,39.255,66.564,133.128,-192.865,0,2,0,19.962,0.176,20.314,113.268,226.537,-191.316
111,32,M,26.7,43.5,61,23,2.652,26,108,3.012,0.219,0.245,0.895,1.765,70.993,0.723,72.44,98.148,196.296,-206.468,0,2,0,15.697,0.168,16.033,93.519,187.038,-185.500
112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,32,M,34.6,51.5,56,40,1.4,25,241,2.902,0.313,0.149,2.099,2.686,61.031,0.57,62.171,107.04,214.08,-205.6,0,4,0,14.022,0.251,14.524,55.864,111.727,-177.044
114,32,M,30.2,39,34,19,1.789,22,94,3.21,0.277,0.218,1.266,1.687,56.986,1.114,59.213,51.173,102.346,-194.741,0,2,0,20.103,0.272,20.648,73.788,147.575,-185.640
115,32,M,30.6,38.6,36,19,1.895,23,93,3.084,0.422,0.15,2.819,1.419,34.88,0.358,35.597,97.347,194.694,-196.79,0,1,0,14.665,0.179,15.024,81.768,163.536,-182.777
116,32,M,30.4,37.4,37,24,1.542,23,106,3.01,0.356,0.07,5.087,1.95,43.797,1.229,46.255,35.629,71.258,-186.322,2,2,0,22.483,0.274,23.031,82.096,164.192,-188.583
117,32,M,36.8,64.5,35,24,1.458,24,103,2.785,0.343,0.087,3.942,3.032,41.446,0.696,42.838,59.58,119.16,-192.502,3,2,0,11.432,0.088,11.607,130.651,261.303,-185.734
118,32,M,21.8,27.7,44,17,2.588,25,77,3.362,0.733,0.35,2.095,1.461,54.411,0.756,55.922,71.988,143.977,-198.713,0,4,0,16.807,0.257,17.322,65.277,130.554,-181.580
119,32,M,27.5,46.9,NA,NA,NA,NA,124,2.881,0.52,0.242,2.149,2.51,88.263,1.658,91.58,53.226,106.451,-201.161,1,5,0,20.387,0.335,21.056,60.884,121.768,-183.241
120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
